
                             RF1_thick_desl_1e  RF1_thick_desl_1e  U1_thick_desl_1e4
                  X               4_aplic            4_apoio             _aplic     

              131.251E-03         15.3328           -15.3183           649.839E-06  
              132.502E-03         15.7432           -15.7287           667.252E-06  
              133.75E-03          16.1591           -16.1446           684.903E-06  
              135.001E-03         16.5828           -16.5681           702.88E-06   
              136.252E-03         17.0131           -16.9983           721.142E-06  
              137.5E-03           17.4489           -17.4342           739.639E-06  
              138.751E-03         17.8927           -17.8779           758.469E-06  
              140.002E-03         18.3432           -18.3282           777.587E-06  
              141.253E-03         18.8005           -18.7854           796.992E-06  
              142.501E-03         19.2633           -19.2483           816.636E-06  
              143.752E-03         19.7341           -19.7192           836.621E-06  
              145.003E-03         20.212            -20.1968           856.898E-06  
              146.251E-03         20.6954           -20.6801           877.413E-06  
              147.502E-03         21.1868           -21.1716           898.274E-06  
              148.753E-03         21.6853           -21.6701           919.431E-06  
              150.E-03            22.1895           -22.1741           940.829E-06  
              151.251E-03         22.7019           -22.6864           962.577E-06  
              152.502E-03         23.2213           -23.2058           984.622E-06  
              153.75E-03          23.7463           -23.7309             1.00691E-03
              155.001E-03         24.2798           -24.2643             1.02955E-03
              156.252E-03         24.8204           -24.8047             1.05249E-03
              157.503E-03         25.368            -25.3523             1.07574E-03
              158.751E-03         25.9213           -25.9057             1.09923E-03
              160.002E-03         26.4831           -26.4675             1.12308E-03
              161.253E-03         27.0522           -27.0363             1.14723E-03
              162.501E-03         27.6269           -27.611              1.17162E-03
              163.752E-03         28.2101           -28.1944             1.19638E-03
              165.003E-03         28.8007           -28.7849             1.22146E-03
              166.251E-03         29.397            -29.381              1.24677E-03
              167.502E-03         30.002            -29.986              1.27245E-03
              168.753E-03         30.6142           -30.5982             1.29844E-03
              170.E-03            31.2321           -31.2162             1.32467E-03
              171.251E-03         31.8589           -31.8428             1.35128E-03
              172.502E-03         32.493            -32.4768             1.37819E-03
              173.75E-03          33.1327           -33.1167             1.40536E-03
              175.001E-03         33.7814           -33.7654             1.4329E-03 
              176.252E-03         34.4375           -34.4213             1.46075E-03
              177.503E-03         35.1009           -35.0846             1.48891E-03
              178.751E-03         35.77             -35.7537             1.51731E-03
              180.002E-03         36.448            -36.4319             1.5461E-03 
              181.253E-03         37.1336           -37.1174             1.57521E-03
              182.501E-03         37.8248           -37.8084             1.60455E-03
              183.752E-03         38.5251           -38.5087             1.63428E-03
              185.003E-03         39.2327           -39.2165             1.66433E-03
              186.25E-03          39.9461           -39.9298             1.69462E-03
              187.501E-03         40.6688           -40.6523             1.7253E-03 
              188.752E-03         41.3988           -41.3823             1.75629E-03
              190.E-03            42.1344           -42.118              1.78752E-03
              191.251E-03         42.8793           -42.863              1.81915E-03
              192.502E-03         43.6318           -43.6153             1.8511E-03 
              193.75E-03          44.3898           -44.3732             1.88328E-03
              195.001E-03         45.1571           -45.1407             1.91586E-03
              196.252E-03         45.9319           -45.9155             1.94876E-03
              197.503E-03         46.7143           -46.6978             1.98198E-03
              198.751E-03         47.5022           -47.4856             2.01543E-03
              200.002E-03         48.2995           -48.283              2.04929E-03
              201.253E-03         49.1043           -49.0879             2.08346E-03
              202.501E-03         49.9146           -49.8981             2.11787E-03
              203.752E-03         50.7345           -50.7179             2.15268E-03
              205.003E-03         51.5619           -51.5453             2.18781E-03
              206.25E-03          52.3946           -52.3782             2.22317E-03
              207.501E-03         53.2371           -53.2206             2.25894E-03
              208.752E-03         54.0871           -54.0704             2.29503E-03
              210.E-03            54.9423           -54.9257             2.33135E-03
              211.251E-03         55.8072           -55.7908             2.36808E-03
              212.502E-03         56.6797           -56.6632             2.40512E-03
              213.753E-03         57.5598           -57.5432             2.44249E-03
              215.001E-03         58.4451           -58.4285             2.48009E-03
              216.252E-03         59.3401           -59.3237             2.51809E-03
              217.503E-03         60.2427           -60.2263             2.55642E-03
              218.751E-03         61.1506           -61.134              2.59497E-03
              220.002E-03         62.0682           -62.0516             2.63393E-03
              221.253E-03         62.9932           -62.9768             2.67322E-03
              222.501E-03         63.9235           -63.9071             2.71273E-03
              223.751E-03         64.8637           -64.8471             2.75265E-03
              225.002E-03         65.8113           -65.7947             2.79289E-03
              226.25E-03          66.764            -66.7475             2.83335E-03
              227.501E-03         67.7266           -67.7102             2.87422E-03
              228.752E-03         68.6967           -68.6802             2.91542E-03
              230.E-03            69.6719           -69.6553             2.95683E-03
              231.251E-03         70.6569           -70.6404             2.99866E-03
              232.502E-03         71.6494           -71.6331             3.04081E-03
              233.753E-03         72.6494           -72.633              3.08328E-03
              235.001E-03         73.6544           -73.6379             3.12595E-03
              236.252E-03         74.6692           -74.6528             3.16906E-03
              237.503E-03         75.6916           -75.6753             3.21247E-03
              238.751E-03         76.7187           -76.7024             3.25609E-03
              240.002E-03         77.7559           -77.7395             3.30014E-03
              241.253E-03         78.8006           -78.7842             3.34451E-03
              242.5E-03           79.8498           -79.8336             3.38906E-03
              243.751E-03         80.9092           -80.8931             3.43406E-03
              245.002E-03         81.9761           -81.9598             3.47936E-03
              246.25E-03          83.0476           -83.0313             3.52487E-03
              247.501E-03         84.129            -84.1129             3.5708E-03 
              248.752E-03         85.2179           -85.2018             3.61705E-03
              250.E-03            86.3114           -86.2952             3.66348E-03
              251.251E-03         87.415            -87.3988             3.71035E-03
              252.502E-03         88.5258           -88.5097             3.75753E-03
              253.753E-03         89.6439           -89.628              3.80501E-03
              255.001E-03         90.7666           -90.7506             3.85269E-03
              256.252E-03         91.8994           -91.8833             3.9008E-03 
