
                             RF1_thick_forca_1  U1_thick_ forca_1
                  X               e5_apoio           e5_aplic    

              167.506E-03         28.9895            -1.261E-03  
              168.758E-03         29.5861            -1.28691E-03
              170.009E-03         30.1896            -1.31313E-03
              171.251E-03         30.7952            -1.33944E-03
              172.503E-03         31.4123            -1.36625E-03
              173.754E-03         32.0361            -1.39337E-03
              175.006E-03         32.6664            -1.42078E-03
              176.258E-03         33.3034            -1.4485E-03 
              177.509E-03         33.9471            -1.47651E-03
              178.751E-03         34.5924            -1.5046E-03 
              180.003E-03         35.2497            -1.53321E-03
              181.255E-03         35.9139            -1.56213E-03
              182.506E-03         36.5852            -1.59136E-03
              183.758E-03         37.2637            -1.6209E-03 
              185.01E-03          37.9494            -1.65076E-03
              186.251E-03         38.6369            -1.6807E-03 
              187.503E-03         39.3373            -1.7112E-03 
              188.755E-03         40.0453            -1.74202E-03
              190.006E-03         40.761             -1.77317E-03
              191.258E-03         41.4845            -1.80465E-03
              192.51E-03          42.2159            -1.83646E-03
              193.751E-03         42.949             -1.86835E-03
              195.003E-03         43.6958            -1.90081E-03
              196.255E-03         44.4501            -1.93361E-03
              197.507E-03         45.2121            -1.96673E-03
              198.758E-03         45.9816            -2.00018E-03
              200.01E-03          46.7584            -2.03395E-03
              201.252E-03         47.5363            -2.06777E-03
              202.503E-03         48.3277            -2.10217E-03
              203.755E-03         49.1262            -2.13689E-03
              205.007E-03         49.9318            -2.17191E-03
              206.258E-03         50.7443            -2.20725E-03
              207.5E-03           51.5572            -2.24261E-03
              208.752E-03         52.3833            -2.27855E-03
              210.004E-03         53.2162            -2.31481E-03
              211.255E-03         54.0559            -2.35137E-03
              212.507E-03         54.9027            -2.38824E-03
              213.759E-03         55.7566            -2.42543E-03
              215.E-03            56.6107            -2.46262E-03
              216.252E-03         57.4788            -2.50043E-03
              217.504E-03         58.3542            -2.53855E-03
              218.755E-03         59.2369            -2.577E-03  
              220.007E-03         60.1272            -2.61577E-03
              221.259E-03         61.0251            -2.65488E-03
              222.5E-03           61.9233            -2.69399E-03
              223.752E-03         62.8365            -2.73375E-03
              225.004E-03         63.7575            -2.77384E-03
              226.256E-03         64.6864            -2.81426E-03
              227.507E-03         65.6231            -2.85501E-03
              228.759E-03         66.5675            -2.89609E-03
              230.001E-03         67.5119            -2.93717E-03
              231.252E-03         68.4713            -2.9789E-03 
              232.504E-03         69.438             -3.02095E-03
              233.756E-03         70.4122            -3.06333E-03
              235.007E-03         71.3937            -3.10602E-03
              236.259E-03         72.3822            -3.14902E-03
              237.501E-03         73.3699            -3.19198E-03
              238.753E-03         74.3722            -3.23559E-03
              240.004E-03         75.3815            -3.27951E-03
              241.256E-03         76.3976            -3.32373E-03
              242.508E-03         77.4204            -3.36826E-03
              243.759E-03         78.4498            -3.41309E-03
              245.001E-03         79.4777            -3.45785E-03
              246.253E-03         80.5206            -3.50328E-03
              247.504E-03         81.5705            -3.54902E-03
              248.756E-03         82.6275            -3.59506E-03
              250.008E-03         83.6915            -3.64141E-03
              251.259E-03         84.7627            -3.68808E-03
              252.501E-03         85.8324            -3.73468E-03
              253.753E-03         86.918             -3.78197E-03
              255.005E-03         88.011             -3.82959E-03
              256.256E-03         89.1115            -3.87752E-03
              257.508E-03         90.2196            -3.92577E-03
              258.76E-03          91.3352            -3.97435E-03
              260.001E-03         92.4493            -4.02285E-03
              261.253E-03         93.5799            -4.07206E-03
              262.505E-03         94.7179            -4.12158E-03
              263.756E-03         95.8633            -4.17143E-03
              265.008E-03         97.0158            -4.22158E-03
              266.26E-03          98.1753            -4.27204E-03
              267.501E-03         99.3324            -4.3224E-03 
              268.753E-03        100.506             -4.37346E-03
              270.005E-03        101.686             -4.42482E-03
              271.257E-03        102.873             -4.47648E-03
              272.508E-03        104.066             -4.52842E-03
              273.76E-03         105.266             -4.58065E-03
              275.002E-03        106.462             -4.63275E-03
              276.253E-03        107.674             -4.68555E-03
              277.505E-03        108.893             -4.73864E-03
              278.757E-03        110.118             -4.79202E-03
              280.008E-03        111.35              -4.84568E-03
              281.25E-03         112.578             -4.89919E-03
              282.502E-03        113.823             -4.95343E-03
              283.754E-03        115.074             -5.00796E-03
              285.005E-03        116.332             -5.06278E-03
              286.257E-03        117.597             -5.1179E-03 
              287.509E-03        118.869             -5.17331E-03
              288.75E-03         120.137             -5.22858E-03
              290.002E-03        121.423             -5.2846E-03 
              291.254E-03        122.716             -5.34091E-03
              292.505E-03        124.015             -5.39752E-03
              293.757E-03        125.322             -5.45443E-03
              295.009E-03        126.636             -5.51163E-03
              296.25E-03         127.946             -5.56867E-03
