
                             RF1_thin_forca_1e  U1_thin_forca_1e5
                  X               5_apoio             _aplic     

              167.506E-03         29.0195          -960.256E-06  
              168.758E-03         29.6144          -979.934E-06  
              170.009E-03         30.2168          -999.855E-06  
              171.261E-03         30.8266            -1.02002E-03
              172.502E-03         31.4383            -1.04024E-03
              173.753E-03         32.0626            -1.06088E-03
              175.005E-03         32.6942            -1.08177E-03
              176.257E-03         33.333             -1.10289E-03
              177.508E-03         33.9787            -1.12425E-03
              178.76E-03          34.6317            -1.14583E-03
              180.001E-03         35.2856            -1.16746E-03
              181.252E-03         35.9523            -1.18951E-03
              182.504E-03         36.6258            -1.21179E-03
              183.756E-03         37.306             -1.23431E-03
              185.007E-03         37.9929            -1.25705E-03
              186.259E-03         38.6869            -1.28003E-03
              187.511E-03         39.3879            -1.30324E-03
              188.751E-03         40.0897            -1.32648E-03
              190.003E-03         40.8049            -1.35017E-03
              191.255E-03         41.5275            -1.3741E-03 
              192.506E-03         42.2575            -1.39827E-03
              193.758E-03         42.9949            -1.42269E-03
              195.01E-03          43.7398            -1.44736E-03
              196.25E-03          44.4857            -1.47205E-03
              197.502E-03         45.2459            -1.49721E-03
              198.754E-03         46.014             -1.52263E-03
              200.005E-03         46.7898            -1.54829E-03
              201.257E-03         47.5732            -1.57421E-03
              202.509E-03         48.364             -1.60037E-03
              203.761E-03         49.1623            -1.62677E-03
              205.001E-03         49.9606            -1.65319E-03
              206.253E-03         50.7734            -1.68008E-03
              207.504E-03         51.5934            -1.70721E-03
              208.756E-03         52.4206            -1.73457E-03
              210.008E-03         53.2548            -1.76217E-03
              211.26E-03          54.096             -1.79001E-03
              212.5E-03           54.9364            -1.81783E-03
              213.752E-03         55.7912            -1.84614E-03
              215.003E-03         56.653             -1.87468E-03
              216.255E-03         57.5218            -1.90346E-03
              217.507E-03         58.3979            -1.93248E-03
              218.759E-03         59.2814            -1.96174E-03
              220.01E-03          60.1721            -1.99125E-03
              221.251E-03         61.0622            -2.02073E-03
              222.502E-03         61.9677            -2.05072E-03
              223.754E-03         62.8807            -2.08096E-03
              225.006E-03         63.8014            -2.11145E-03
              226.258E-03         64.7299            -2.14219E-03
              227.509E-03         65.666             -2.17319E-03
              228.761E-03         66.6098            -2.20443E-03
              230.001E-03         67.5529            -2.23563E-03
              231.253E-03         68.5119            -2.26737E-03
              232.505E-03         69.4783            -2.29935E-03
              233.757E-03         70.4518            -2.33157E-03
              235.008E-03         71.4326            -2.36403E-03
              236.26E-03          72.4206            -2.39673E-03
              237.5E-03           73.4067            -2.42937E-03
              238.752E-03         74.4088            -2.46254E-03
              240.004E-03         75.4177            -2.49594E-03
              241.256E-03         76.4333            -2.52957E-03
              242.507E-03         77.4558            -2.56344E-03
              243.759E-03         78.4851            -2.59753E-03
              245.011E-03         79.5212            -2.63186E-03
              246.251E-03         80.555             -2.66611E-03
              247.503E-03         81.6052            -2.70091E-03
              248.755E-03         82.6627            -2.73594E-03
              250.006E-03         83.7274            -2.77121E-03
              251.258E-03         84.7993            -2.80672E-03
              252.51E-03          85.8786            -2.84248E-03
              253.75E-03          86.9555            -2.87815E-03
              255.002E-03         88.0495            -2.91439E-03
              256.254E-03         89.1512            -2.95087E-03
              257.505E-03         90.2603            -2.9876E-03 
              258.757E-03         91.3769            -3.02456E-03
              260.009E-03         92.5007            -3.06177E-03
              261.26E-03          93.6318            -3.09921E-03
              262.501E-03         94.7597            -3.13655E-03
              263.753E-03         95.9047            -3.17446E-03
              265.004E-03         97.0564            -3.2126E-03 
              266.256E-03         98.2151            -3.25096E-03
              267.508E-03         99.3806            -3.28955E-03
              268.759E-03        100.553             -3.32836E-03
              270.011E-03        101.731             -3.3674E-03 
              271.252E-03        102.906             -3.4063E-03 
              272.503E-03        104.097             -3.44578E-03
              273.755E-03        105.295             -3.48547E-03
              275.007E-03        106.5               -3.52539E-03
              276.258E-03        107.711             -3.56554E-03
              277.51E-03         108.929             -3.6059E-03 
              278.751E-03        110.143             -3.64613E-03
              280.002E-03        111.375             -3.68695E-03
              281.254E-03        112.614             -3.72801E-03
              282.506E-03        113.86              -3.76929E-03
              283.757E-03        115.113             -3.8108E-03 
              285.009E-03        116.373             -3.85254E-03
              286.261E-03        117.64              -3.89451E-03
              287.501E-03        118.903             -3.93633E-03
              288.753E-03        120.184             -3.97875E-03
              290.005E-03        121.472             -4.0214E-03 
              291.256E-03        122.766             -4.06427E-03
              292.508E-03        124.067             -4.10736E-03
              293.76E-03         125.375             -4.15066E-03
              295.E-03           126.676             -4.19378E-03
              296.252E-03        127.996             -4.2375E-03 
              297.504E-03        129.323             -4.28143E-03
              298.755E-03        130.655             -4.32557E-03
              300.007E-03        131.993             -4.36991E-03
              301.259E-03        133.338             -4.41446E-03
              302.511E-03        134.688             -4.45921E-03
              303.751E-03        136.032             -4.50376E-03
              305.003E-03        137.395             -4.54893E-03
              306.254E-03        138.763             -4.5943E-03 
              307.506E-03        140.139             -4.63987E-03
              308.758E-03        141.52              -4.68566E-03
              310.01E-03         142.908             -4.73166E-03
              311.25E-03         144.29              -4.77746E-03
              312.502E-03        145.691             -4.82388E-03
              313.753E-03        147.098             -4.87051E-03
              315.005E-03        148.512             -4.91736E-03
              316.257E-03        149.932             -4.96441E-03
              317.509E-03        151.359             -5.01167E-03
              318.76E-03         152.792             -5.05913E-03
              320.001E-03        154.218             -5.10637E-03
              321.252E-03        155.663             -5.15424E-03
              322.504E-03        157.113             -5.2023E-03 
              323.756E-03        158.57              -5.25055E-03
              325.008E-03        160.032             -5.299E-03  
              326.259E-03        161.5               -5.34763E-03
              327.511E-03        162.973             -5.39644E-03
              328.751E-03        164.438             -5.44501E-03
              330.003E-03        165.922             -5.49419E-03
              331.255E-03        167.412             -5.54355E-03
              332.507E-03        168.906             -5.59311E-03
              333.758E-03        170.406             -5.64284E-03
              335.01E-03         171.912             -5.69276E-03
              336.25E-03         173.41              -5.74242E-03
              337.502E-03        174.927             -5.79271E-03
              338.754E-03        176.45              -5.84318E-03
              340.006E-03        177.978             -5.89385E-03
              341.257E-03        179.512             -5.94471E-03
              342.509E-03        181.053             -5.99575E-03
              343.761E-03        182.598             -6.04698E-03
              345.001E-03        184.136             -6.09794E-03
              346.253E-03        185.693             -6.14954E-03
              347.505E-03        187.256             -6.20132E-03
              348.756E-03        188.824             -6.25327E-03
              350.008E-03        190.398             -6.30541E-03
              351.26E-03         191.976             -6.35772E-03
              352.5E-03          193.545             -6.40972E-03
              353.752E-03        195.134             -6.46236E-03
              355.004E-03        196.727             -6.51516E-03
              356.255E-03        198.325             -6.56813E-03
              357.507E-03        199.928             -6.62124E-03
              358.759E-03        201.535             -6.67453E-03
              360.01E-03         203.147             -6.72797E-03
              361.251E-03        204.749             -6.78108E-03
              362.503E-03        206.37              -6.83484E-03
              363.754E-03        207.996             -6.88874E-03
              365.006E-03        209.627             -6.94281E-03
              366.258E-03        211.262             -6.99704E-03
              367.509E-03        212.902             -7.05143E-03
              368.761E-03        214.548             -7.10598E-03
              370.002E-03        216.183             -7.1602E-03 
              371.253E-03        217.838             -7.21508E-03
              372.505E-03        219.498             -7.27011E-03
              373.757E-03        221.163             -7.3253E-03 
              375.008E-03        222.833             -7.38065E-03
              376.26E-03         224.508             -7.43615E-03
              377.501E-03        226.172             -7.4913E-03 
              378.752E-03        227.856             -7.5471E-03 
              380.004E-03        229.544             -7.60304E-03
              381.256E-03        231.236             -7.65913E-03
              382.507E-03        232.932             -7.71535E-03
              383.759E-03        234.632             -7.77171E-03
              385.011E-03        236.336             -7.82819E-03
              386.251E-03        238.029             -7.88431E-03
              387.503E-03        239.74              -7.94105E-03
              388.755E-03        241.455             -7.99793E-03
              390.006E-03        243.174             -8.05493E-03
              391.258E-03        244.897             -8.11206E-03
              392.51E-03         246.623             -8.16932E-03
              393.75E-03         248.338             -8.22619E-03
              395.002E-03        250.072             -8.28371E-03
              396.254E-03        251.811             -8.34136E-03
              397.505E-03        253.553             -8.39913E-03
              398.757E-03        255.299             -8.45704E-03
              400.009E-03        257.049             -8.51508E-03
              401.261E-03        258.804             -8.57324E-03
              402.501E-03        260.546             -8.63102E-03
              403.753E-03        262.308             -8.68944E-03
              405.004E-03        264.074             -8.74798E-03
              406.256E-03        265.844             -8.80665E-03
              407.508E-03        267.617             -8.86542E-03
              408.76E-03         269.394             -8.92432E-03
              410.E-03           271.158             -8.98279E-03
              411.252E-03        272.941             -9.0419E-03 
              412.503E-03        274.726             -9.10112E-03
              413.755E-03        276.515             -9.16043E-03
              415.007E-03        278.307             -9.21985E-03
              416.259E-03        280.101             -9.27936E-03
              417.51E-03         281.899             -9.33896E-03
              418.751E-03        283.683             -9.39813E-03
              420.002E-03        285.485             -9.45792E-03
              421.254E-03        287.291             -9.51782E-03
              422.506E-03        289.099             -9.57781E-03
              423.758E-03        290.91              -9.63788E-03
              425.009E-03        292.725             -9.69807E-03
              426.261E-03        294.542             -9.75834E-03
              427.501E-03        296.346             -9.81818E-03
              428.753E-03        298.169             -9.87865E-03
              430.005E-03        299.996             -9.93922E-03
              431.257E-03        301.825             -9.99988E-03
              432.508E-03        303.657            -10.0606E-03 
              433.76E-03         305.492            -10.1215E-03 
              435.E-03           307.313            -10.1819E-03 
              436.252E-03        309.153            -10.2429E-03 
              437.504E-03        310.996            -10.304E-03  
              438.756E-03        312.841            -10.3652E-03 
              440.007E-03        314.688            -10.4264E-03 
              441.259E-03        316.537            -10.4877E-03 
              442.511E-03        318.388            -10.5491E-03 
              443.751E-03        320.224            -10.61E-03   
              445.003E-03        322.079            -10.6715E-03 
              446.255E-03        323.935            -10.7331E-03 
              447.506E-03        325.793            -10.7947E-03 
              448.758E-03        327.653            -10.8564E-03 
              450.01E-03         329.514            -10.9182E-03 
              451.25E-03         331.36             -10.9794E-03 
              452.502E-03        333.225            -11.0413E-03 
              453.754E-03        335.092            -11.1033E-03 
              455.005E-03        336.961            -11.1653E-03 
              456.257E-03        338.832            -11.2273E-03 
              457.509E-03        340.705            -11.2894E-03 
              458.76E-03         342.579            -11.3516E-03 
              460.001E-03        344.439            -11.4133E-03 
              461.253E-03        346.317            -11.4756E-03 
              462.504E-03        348.197            -11.538E-03  
              463.756E-03        350.079            -11.6004E-03 
              465.008E-03        351.963            -11.6629E-03 
              466.259E-03        353.848            -11.7254E-03 
              467.511E-03        355.734            -11.7879E-03 
              468.752E-03        357.604            -11.8499E-03 
              470.003E-03        359.492            -11.9126E-03 
              471.255E-03        361.38             -11.9752E-03 
              472.507E-03        363.27             -12.0379E-03 
              473.758E-03        365.161            -12.1006E-03 
              475.01E-03         367.052            -12.1634E-03 
              476.251E-03        368.926            -12.2256E-03 
              477.502E-03        370.819            -12.2883E-03 
              478.754E-03        372.712            -12.3512E-03 
              480.006E-03        374.605            -12.414E-03  
              481.257E-03        376.499            -12.4769E-03 
              482.509E-03        378.394            -12.5398E-03 
              483.761E-03        380.29             -12.6027E-03 
              485.001E-03        382.17             -12.665E-03  
              486.253E-03        384.068            -12.728E-03  
              487.505E-03        385.967            -12.791E-03  
              488.756E-03        387.866            -12.854E-03  
              490.008E-03        389.765            -12.9171E-03 
              491.26E-03         391.666            -12.9801E-03 
              492.5E-03          393.551            -13.0426E-03 
              493.752E-03        395.452            -13.1057E-03 
              495.004E-03        397.355            -13.1688E-03 
              496.255E-03        399.257            -13.2319E-03 
              497.507E-03        401.159            -13.295E-03  
              498.759E-03        403.061            -13.3581E-03 
              500.011E-03        404.963            -13.4212E-03 
              501.254E-03        406.848            -13.4838E-03 
              502.509E-03        408.749            -13.5469E-03 
              503.753E-03        410.633            -13.6095E-03 
              505.008E-03        412.534            -13.6726E-03 
              506.252E-03        414.417            -13.7353E-03 
              507.507E-03        416.319            -13.7985E-03 
              508.751E-03        418.209            -13.8611E-03 
              510.006E-03        420.118            -13.9243E-03 
              511.261E-03        422.027            -13.9876E-03 
              512.505E-03        423.919            -14.0503E-03 
              513.76E-03         425.826            -14.1136E-03 
              515.004E-03        427.717            -14.1763E-03 
              516.259E-03        429.625            -14.2396E-03 
              517.503E-03        431.514            -14.3023E-03 
              518.758E-03        433.421            -14.3655E-03 
              520.001E-03        435.31             -14.428E-03  
              521.257E-03        437.213            -14.4911E-03 
              522.5E-03          439.098            -14.5536E-03 
              523.755E-03        440.995            -14.6166E-03 
              525.01E-03         442.888            -14.6795E-03 
              526.254E-03        444.762            -14.7418E-03 
              527.509E-03        446.653            -14.8046E-03 
              528.753E-03        448.526            -14.8668E-03 
              530.008E-03        450.415            -14.9295E-03 
              531.252E-03        452.285            -14.9916E-03 
              532.507E-03        454.171            -15.0543E-03 
              533.751E-03        456.038            -15.1163E-03 
              535.006E-03        457.922            -15.179E-03  
              536.261E-03        459.806            -15.2416E-03 
              537.505E-03        461.673            -15.3036E-03 
              538.76E-03         463.559            -15.3661E-03 
              540.004E-03        465.429            -15.4281E-03 
              541.259E-03        467.316            -15.4906E-03 
              542.502E-03        469.184            -15.5525E-03 
              543.758E-03        471.065            -15.615E-03  
              545.001E-03        472.929            -15.6768E-03 
              546.256E-03        474.809            -15.7392E-03 
              547.5E-03          476.67             -15.8009E-03 
              548.755E-03        478.546            -15.8631E-03 
              550.01E-03         480.419            -15.9252E-03 
              551.254E-03        482.272            -15.9866E-03 
              552.509E-03        484.138            -16.0486E-03 
              553.753E-03        485.983            -16.1098E-03 
              555.008E-03        487.84             -16.1716E-03 
              556.252E-03        489.677            -16.2327E-03 
              557.507E-03        491.529            -16.2942E-03 
              558.751E-03        493.363            -16.3551E-03 
              560.006E-03        495.212            -16.4165E-03 
              561.261E-03        497.058            -16.4778E-03 
              562.505E-03        498.885            -16.5385E-03 
              563.76E-03         500.726            -16.5997E-03 
              565.003E-03        502.549            -16.6604E-03 
              566.258E-03        504.389            -16.7215E-03 
              567.502E-03        506.212            -16.782E-03  
              568.757E-03        508.05             -16.8429E-03 
              570.001E-03        509.872            -16.9033E-03 
              571.256E-03        511.708            -16.9642E-03 
              572.5E-03          513.526            -17.0245E-03 
              573.755E-03        515.356            -17.0852E-03 
              575.01E-03         517.182            -17.1458E-03 
              576.254E-03        518.99             -17.2058E-03 
              577.509E-03        520.812            -17.2663E-03 
              578.753E-03        522.615            -17.326E-03  
              580.008E-03        524.429            -17.3862E-03 
              581.252E-03        526.222            -17.4457E-03 
              582.507E-03        528.025            -17.5056E-03 
              583.751E-03        529.808            -17.5649E-03 
              585.006E-03        531.603            -17.6245E-03 
              586.261E-03        533.394            -17.6841E-03 
              587.504E-03        535.165            -17.743E-03  
              588.759E-03        536.95             -17.8023E-03 
              590.003E-03        538.717            -17.8609E-03 
              591.258E-03        540.496            -17.92E-03   
              592.502E-03        542.255            -17.9785E-03 
              593.757E-03        544.027            -18.0374E-03 
              595.001E-03        545.781            -18.0957E-03 
              596.256E-03        547.55             -18.1545E-03 
              597.511E-03        549.318            -18.2132E-03 
              598.755E-03        551.068            -18.2712E-03 
              600.01E-03         552.831            -18.3297E-03 
              601.254E-03        554.575            -18.3875E-03 
              602.509E-03        556.332            -18.4458E-03 
              603.753E-03        558.068            -18.5034E-03 
              605.008E-03        559.815            -18.5614E-03 
              606.252E-03        561.543            -18.6188E-03 
              607.507E-03        563.283            -18.6765E-03 
              608.75E-03         565.004            -18.7336E-03 
              610.005E-03        566.734            -18.791E-03  
              611.26E-03         568.458            -18.8482E-03 
              612.504E-03        570.159            -18.9048E-03 
              613.759E-03        571.871            -18.9617E-03 
              615.003E-03        573.562            -19.018E-03  
              616.258E-03        575.265            -19.0746E-03 
              617.502E-03        576.949            -19.1305E-03 
              618.757E-03        578.643            -19.1868E-03 
              620.001E-03        580.319            -19.2425E-03 
              621.256E-03        582.006            -19.2986E-03 
              622.511E-03        583.688            -19.3545E-03 
              623.755E-03        585.352            -19.4099E-03 
              625.01E-03         587.028            -19.4656E-03 
              626.254E-03        588.686            -19.5207E-03 
              627.509E-03        590.358            -19.5761E-03 
              628.753E-03        592.012            -19.631E-03  
              630.008E-03        593.677            -19.6862E-03 
              631.251E-03        595.321            -19.7408E-03 
              632.506E-03        596.976            -19.7957E-03 
              633.75E-03         598.611            -19.85E-03   
              635.005E-03        600.256            -19.9046E-03 
              636.26E-03         601.895            -19.959E-03  
              637.504E-03        603.515            -20.0127E-03 
              638.759E-03        605.143            -20.0668E-03 
              640.003E-03        606.751            -20.1201E-03 
              641.258E-03        608.366            -20.1738E-03 
              642.502E-03        609.96             -20.2268E-03 
              643.757E-03        611.561            -20.2801E-03 
              645.001E-03        613.142            -20.3327E-03 
              646.256E-03        614.734            -20.3857E-03 
              647.511E-03        616.321            -20.4384E-03 
              648.755E-03        617.888            -20.4905E-03 
              650.01E-03         619.466            -20.5429E-03 
              651.254E-03        621.023            -20.5947E-03 
              652.509E-03        622.591            -20.6469E-03 
              653.752E-03        624.14             -20.6984E-03 
              655.007E-03        625.7              -20.7502E-03 
              656.251E-03        627.242            -20.8015E-03 
              657.506E-03        628.795            -20.853E-03  
              658.75E-03         630.331            -20.9039E-03 
              660.005E-03        631.875            -20.9551E-03 
              661.26E-03         633.413            -21.0061E-03 
              662.504E-03        634.93             -21.0566E-03 
              663.759E-03        636.456            -21.1072E-03 
              665.003E-03        637.962            -21.1572E-03 
              666.258E-03        639.476            -21.2075E-03 
              667.502E-03        640.97             -21.2571E-03 
              668.757E-03        642.47             -21.3069E-03 
              670.001E-03        643.95             -21.3561E-03 
