
                             RF1_desl_1e6_rsd_  RF1_desl_1e6_rsd_  U1_desl_1e6_rsd_m                                      
                  X            meio_PrendeSet      meio_PuxaSet       eio_PuxaSet          desl ie            desl ke     
               93.7737E-03        61.3965           -84.5718            -2.6896E-03             NoValue            NoValue
               95.0179E-03        63.9768           -86.8999            -2.78609E-03       99.8108E-03        46.9625E-03 
               96.2621E-03        66.5857           -89.3226            -2.88452E-03            NoValue            NoValue
               97.5063E-03        69.2287           -91.8433            -2.98495E-03            NoValue            NoValue
               98.7504E-03        71.9075           -94.4593            -3.08732E-03            NoValue            NoValue
              100.02E-03          74.6766           -97.2178            -3.1938E-03       130.845E-03         53.4373E-03 
              101.264E-03         77.4275           -99.9993            -3.30014E-03            NoValue            NoValue
              102.508E-03         80.2201          -102.853             -3.40843E-03            NoValue            NoValue
              103.753E-03         83.0533          -105.781             -3.51871E-03            NoValue            NoValue
              105.022E-03         85.9775          -108.851             -3.63326E-03      169.123E-03         60.4273E-03 
              106.266E-03         88.8698          -111.938             -3.74754E-03            NoValue            NoValue
              107.511E-03         91.7908          -115.095             -3.86374E-03            NoValue            NoValue
              108.755E-03         94.7434          -118.314             -3.98195E-03            NoValue            NoValue
              110.024E-03         97.7876          -121.654             -4.10458E-03      215.709E-03         68.1553E-03 
              111.268E-03        100.799           -124.975             -4.22677E-03            NoValue            NoValue
              112.513E-03        103.835           -128.337             -4.3509E-03             NoValue            NoValue
              113.757E-03        106.896           -131.737             -4.477E-03              NoValue            NoValue
              115.001E-03        109.983           -135.176             -4.60505E-03      271.423E-03         76.7178E-03 
              116.271E-03        113.162           -138.735             -4.73774E-03            NoValue            NoValue
              117.515E-03        116.305           -142.279             -4.86978E-03            NoValue            NoValue
              118.759E-03        119.47            -145.884             -5.00372E-03            NoValue            NoValue
              120.003E-03        122.659           -149.55              -5.13962E-03      338.019E-03         86.2221E-03 
              121.273E-03        125.942           -153.351             -5.28035E-03            NoValue            NoValue
              122.517E-03        129.196           -157.127             -5.42018E-03            NoValue            NoValue
              123.761E-03        132.489           -160.947             -5.56194E-03            NoValue            NoValue
              125.005E-03        135.825           -164.806             -5.7056E-03       416.473E-03         96.7311E-03 
              126.275E-03        139.278           -168.776             -5.85422E-03            NoValue            NoValue
              127.519E-03        142.717           -172.698             -6.00174E-03            NoValue            NoValue
              128.763E-03        146.216           -176.653             -6.15122E-03            NoValue            NoValue
              130.007E-03        149.779           -180.644             -6.3026E-03       508.053E-03        108.279E-03  
              131.252E-03        153.409           -184.67              -6.45587E-03            NoValue            NoValue
              132.521E-03        157.187           -188.812             -6.61419E-03            NoValue            NoValue
              133.765E-03        160.966           -192.902             -6.77123E-03            NoValue            NoValue
              135.01E-03         164.826           -197.018             -6.93012E-03      614.051E-03        120.797E-03  
              136.254E-03        168.769           -201.156             -7.0909E-03             NoValue            NoValue
              137.523E-03        172.88            -205.396             -7.25684E-03            NoValue            NoValue
              138.768E-03        176.996           -209.572             -7.42134E-03            NoValue            NoValue
              140.012E-03        181.207           -213.772             -7.58767E-03      735.785E-03        134.141E-03  
              141.256E-03        185.518           -217.998             -7.75578E-03            NoValue            NoValue
              142.5E-03          189.929           -222.255             -7.92575E-03            NoValue            NoValue
              143.77E-03         194.527           -226.634             -8.10099E-03            NoValue            NoValue
              145.014E-03        199.122           -230.96              -8.27456E-03      874.605E-03        148.073E-03  
              146.258E-03        203.8             -235.317             -8.44987E-03            NoValue            NoValue
              147.502E-03        208.551           -239.697             -8.62695E-03            NoValue            NoValue
              148.772E-03        213.469           -244.181             -8.80949E-03            NoValue            NoValue
              150.016E-03        218.351           -248.589             -8.99005E-03        1.03188          162.377E-03  
              151.26E-03         223.296           -253.014             -9.17242E-03            NoValue            NoValue
              152.504E-03        228.295           -257.456             -9.35643E-03            NoValue            NoValue
              153.774E-03        233.446           -262.006             -9.54597E-03            NoValue            NoValue
              155.018E-03        238.537           -266.485             -9.73338E-03        1.20901          176.701E-03  
              156.262E-03        243.673           -270.981             -9.92249E-03            NoValue            NoValue
              157.507E-03        248.854           -275.494            -10.1132E-03             NoValue            NoValue
              158.751E-03        254.074           -280.026            -10.3056E-03             NoValue            NoValue
              160.02E-03         259.44            -284.672            -10.5035E-03         1.40735          190.62E-03   
              161.265E-03        264.735           -289.239            -10.6992E-03             NoValue            NoValue
              162.509E-03        270.07            -293.817            -10.8964E-03             NoValue            NoValue
              163.753E-03        275.448           -298.407            -11.0952E-03             NoValue            NoValue
              165.022E-03        280.981           -303.109            -11.2996E-03         1.62827          203.692E-03  
              166.267E-03        286.447           -307.738            -11.5016E-03             NoValue            NoValue
              167.511E-03        291.951           -312.396            -11.705E-03              NoValue            NoValue
              168.755E-03        297.492           -317.09             -11.91E-03               NoValue            NoValue
              170.025E-03        303.184           -321.924            -12.1206E-03         1.87306          215.471E-03  
              171.269E-03        308.797           -326.71             -12.3286E-03             NoValue            NoValue
              172.513E-03        314.437           -331.548            -12.5379E-03             NoValue            NoValue
              173.757E-03        320.097           -336.443            -12.7487E-03             NoValue            NoValue
              175.001E-03        325.773           -341.396            -12.9609E-03         2.14149          225.729E-03  
              176.271E-03        331.583           -346.513            -13.179E-03              NoValue            NoValue
              177.515E-03        337.293           -351.593            -13.394E-03              NoValue            NoValue
              178.759E-03        343.017           -356.741            -13.6104E-03             NoValue            NoValue
              180.003E-03        348.753           -361.958            -13.8282E-03         2.43743          234.714E-03  
              181.273E-03        354.619           -367.357            -14.0517E-03             NoValue            NoValue
              182.517E-03        360.384           -372.726            -14.2721E-03             NoValue            NoValue
              183.761E-03        366.164           -378.173            -14.4938E-03             NoValue            NoValue
              185.006E-03        371.957           -383.696            -14.7167E-03         2.7606           242.76E-03   
              186.275E-03        377.879           -389.406            -14.9455E-03             NoValue            NoValue
              187.519E-03        383.695           -395.072            -15.1709E-03             NoValue            NoValue
              188.764E-03        389.527           -400.8              -15.3975E-03             NoValue            NoValue
              190.008E-03        395.378           -406.583            -15.6253E-03         3.11191          250.425E-03  
              191.252E-03        401.247           -412.414            -15.8542E-03             NoValue            NoValue
              192.522E-03        407.252           -418.412            -16.089E-03              NoValue            NoValue
              193.766E-03        413.151           -424.339            -16.3202E-03             NoValue            NoValue
              195.01E-03         419.062           -430.312            -16.5525E-03         3.49218          258.155E-03  
              196.254E-03        424.982           -436.323            -16.786E-03              NoValue            NoValue
              197.524E-03        431.028           -442.491            -17.0251E-03             NoValue            NoValue
              198.768E-03        436.952           -448.563            -17.2606E-03             NoValue            NoValue
              200.012E-03        442.873           -454.655            -17.4971E-03         3.9021           266.208E-03  
              201.256E-03        448.793           -460.758            -17.7346E-03             NoValue            NoValue
              202.5E-03          454.715           -466.867            -17.9731E-03             NoValue            NoValue
              203.77E-03         460.763           -473.109            -18.2174E-03             NoValue            NoValue
              205.014E-03        466.7             -479.235            -18.4576E-03         4.34224          274.587E-03  
              206.258E-03        472.649           -485.374            -18.6988E-03             NoValue            NoValue
              207.503E-03        478.606           -491.533            -18.9409E-03             NoValue            NoValue
              208.772E-03        484.693           -497.843            -19.1888E-03             NoValue            NoValue
              210.016E-03        490.673           -504.049            -19.4325E-03         4.81301          283.104E-03  
              211.261E-03        496.672           -510.273            -19.6771E-03             NoValue            NoValue
              212.505E-03        502.695           -516.513            -19.9224E-03             NoValue            NoValue
              213.774E-03        508.87            -522.891            -20.1735E-03             NoValue            NoValue
              215.018E-03        514.954           -529.146            -20.4202E-03         5.31471          291.707E-03  
              216.263E-03        521.078           -535.402            -20.6679E-03             NoValue            NoValue
              217.507E-03        527.25            -541.657            -20.916E-03              NoValue            NoValue
              218.751E-03        533.476           -547.911            -21.1649E-03             NoValue            NoValue
              220.021E-03        539.885           -554.288            -21.4195E-03         5.84743          300.257E-03  
              221.265E-03        546.218           -560.531            -21.6695E-03             NoValue            NoValue
              222.509E-03        552.605           -566.767            -21.9202E-03             NoValue            NoValue
              223.753E-03        559.047           -572.996            -22.1715E-03             NoValue            NoValue
              225.023E-03        565.681           -579.343            -22.4284E-03         6.41112          308.451E-03  
              226.267E-03        572.239           -585.551            -22.6807E-03             NoValue            NoValue
              227.511E-03        578.851           -591.744            -22.9334E-03             NoValue            NoValue
              228.755E-03        585.514           -597.92             -23.1867E-03             NoValue            NoValue
              230.025E-03        592.367           -604.208            -23.4455E-03         7.0056           315.898E-03  
              231.269E-03        599.132           -610.363            -23.6994E-03             NoValue            NoValue
              232.513E-03        605.942           -616.514            -23.954E-03              NoValue            NoValue
              233.757E-03        612.784           -622.662            -24.2087E-03             NoValue            NoValue
              235.002E-03        619.652           -628.81             -24.4638E-03         7.62726          322.138E-03  
              236.271E-03        626.682           -635.081            -24.7245E-03             NoValue            NoValue
              237.515E-03        633.59            -641.221            -24.9802E-03             NoValue            NoValue
              238.76E-03         640.513           -647.348            -25.2362E-03             NoValue            NoValue
              240.004E-03        647.449           -653.461            -25.4926E-03         8.28192          326.949E-03  
              241.273E-03        654.535           -659.682            -25.7541E-03             NoValue            NoValue
              242.518E-03        661.483           -665.761            -26.0106E-03             NoValue            NoValue
              243.762E-03        668.43            -671.821            -26.2674E-03             NoValue            NoValue
              245.006E-03        675.374           -677.863            -26.5244E-03         8.96581          329.967E-03  
              246.25E-03         682.311           -683.889            -26.7812E-03             NoValue            NoValue
              247.52E-03         689.379           -690.024            -27.0436E-03             NoValue            NoValue
              248.764E-03        696.291           -696.027            -27.3008E-03             NoValue            NoValue
              250.008E-03        703.191           -702.016            -27.5579E-03         9.67805          330.82E-03   
              251.252E-03        710.079           -707.993            -27.8149E-03             NoValue            NoValue
              252.522E-03        717.094           -714.083            -28.0772E-03             NoValue            NoValue
              253.766E-03        723.957           -720.047            -28.3345E-03             NoValue            NoValue
              255.01E-03         730.808           -726.012            -28.5913E-03        10.4176           329.265E-03  
              256.254E-03        737.648           -731.986            -28.8483E-03             NoValue            NoValue
              257.524E-03        744.615           -738.095            -29.1102E-03             NoValue            NoValue
              258.768E-03        751.431           -744.103            -29.3668E-03             NoValue            NoValue
              260.012E-03        758.236           -750.135            -29.6231E-03        11.1831           325.312E-03  
              261.257E-03        765.024           -756.197            -29.8795E-03             NoValue            NoValue
              262.501E-03        771.788           -762.296            -30.1354E-03             NoValue            NoValue
              263.77E-03         778.66            -768.556            -30.3964E-03             NoValue            NoValue
              265.014E-03        785.364           -774.725            -30.652E-03         11.9731           319.395E-03  
              266.259E-03        792.039           -780.928            -30.9069E-03             NoValue            NoValue
              267.503E-03        798.68            -787.165            -31.1616E-03             NoValue            NoValue
              268.772E-03        805.421           -793.561            -31.4214E-03             NoValue            NoValue
              270.017E-03        811.993           -799.862            -31.6754E-03        12.7861           312.224E-03  
              271.261E-03        818.529           -806.191            -31.929E-03              NoValue            NoValue
              272.505E-03        825.031           -812.551            -32.1824E-03             NoValue            NoValue
              273.775E-03        831.629           -819.067            -32.4402E-03             NoValue            NoValue
              275.019E-03        838.061           -825.472            -32.6926E-03        13.6203           304.519E-03  
              276.263E-03        844.461           -831.895            -32.9444E-03             NoValue            NoValue
              277.507E-03        850.833           -838.324            -33.1955E-03             NoValue            NoValue
              278.751E-03        857.183           -844.754            -33.4462E-03             NoValue            NoValue
              280.021E-03        863.636           -851.309            -33.7012E-03        14.4737           296.863E-03  
              281.265E-03        869.933           -857.719            -33.9508E-03             NoValue            NoValue
              282.509E-03        876.202           -864.114            -34.1997E-03             NoValue            NoValue
              283.753E-03        882.443           -870.495            -34.4477E-03             NoValue            NoValue
              285.023E-03        888.781           -876.991            -34.7004E-03        15.3444           289.505E-03  
              286.267E-03        894.96            -883.336            -34.9472E-03             NoValue            NoValue
              287.511E-03        901.099           -889.656            -35.1932E-03             NoValue            NoValue
              288.756E-03        907.2             -895.948            -35.4385E-03             NoValue            NoValue
              290.025E-03        913.383           -902.339            -35.6881E-03        16.2302           282.453E-03  
              291.269E-03        919.405           -908.568            -35.9316E-03             NoValue            NoValue
              292.514E-03        925.393           -914.762            -36.1747E-03             NoValue            NoValue
              293.758E-03        931.351           -920.916            -36.4168E-03             NoValue            NoValue
              295.002E-03        937.285           -927.032            -36.658E-03         17.1241           275.609E-03  
              296.272E-03        943.317           -933.236            -36.9031E-03             NoValue            NoValue
              297.516E-03        949.209           -939.281            -37.1425E-03             NoValue            NoValue
              298.76E-03         955.087           -945.292            -37.3809E-03             NoValue            NoValue
              300.004E-03        960.958           -951.268            -37.6184E-03        18.0331           268.684E-03  
              301.274E-03        966.94            -957.33             -37.8597E-03             NoValue            NoValue
              302.518E-03        972.801           -963.235            -38.0952E-03             NoValue            NoValue
              303.762E-03        978.665           -969.102            -38.3294E-03             NoValue            NoValue
              305.006E-03        984.541           -974.927            -38.5628E-03        18.9499           261.553E-03  
              306.25E-03         990.434           -980.703            -38.7952E-03             NoValue            NoValue
              307.52E-03         996.466           -986.547            -39.031E-03              NoValue            NoValue
              308.764E-03          1.0024E+03      -992.226            -39.2611E-03             NoValue            NoValue
              310.008E-03          1.00834E+03     -997.858            -39.49E-03          19.8721           254.032E-03  
              311.253E-03          1.0143E+03        -1.00345E+03      -39.7177E-03             NoValue            NoValue
              312.522E-03          1.02039E+03       -1.0091E+03       -39.9492E-03             NoValue            NoValue
              313.766E-03          1.02637E+03       -1.0146E+03       -40.1745E-03             NoValue            NoValue
              315.011E-03          1.03235E+03       -1.02004E+03      -40.3986E-03        20.7969           245.879E-03  
              316.255E-03          1.03833E+03       -1.02543E+03      -40.6217E-03             NoValue            NoValue
              317.524E-03          1.04442E+03       -1.03086E+03      -40.8478E-03             NoValue            NoValue
              318.768E-03          1.05039E+03       -1.03614E+03      -41.0681E-03             NoValue            NoValue
              320.013E-03          1.05635E+03       -1.04136E+03      -41.2872E-03        21.7217           236.853E-03  
              321.257E-03          1.06228E+03       -1.04653E+03      -41.5049E-03             NoValue            NoValue
              322.501E-03          1.06819E+03       -1.05166E+03      -41.7213E-03             NoValue            NoValue
              323.771E-03          1.07419E+03       -1.05685E+03      -41.9407E-03             NoValue            NoValue
              325.015E-03          1.08002E+03       -1.06189E+03      -42.1543E-03        22.6437           226.718E-03  
