
                             RF1_thin_desl_1e4  RF1_thin_desl_1e4  U1_thin_desl_1e4_
                  X                _aplic             _apoio             aplic      

                0.                 0.                 0.                 0.         
                1.25015E-03       88.9212E-06      -117.072E-06        524.197E-12  
                2.50347E-03      361.382E-06        -12.8381E-06         4.20172E-09
                3.75323E-03      791.847E-06       -281.392E-06         14.1321E-09 
                5.00307E-03        1.43817E-03     -853.991E-06         33.4094E-09 
                6.25292E-03        2.50517E-03       -1.74254E-03       65.1006E-09 
                7.50276E-03        4.10654E-03       -3.10697E-03      112.248E-09  
                8.75261E-03        6.20842E-03       -5.0668E-03       177.872E-09  
               10.0025E-03         8.91842E-03       -7.73519E-03      264.969E-09  
               11.2523E-03        12.4471E-03       -11.0603E-03       376.513E-09  
               12.5022E-03        16.8353E-03       -15.1942E-03       515.452E-09  
               13.752E-03         22.0693E-03       -20.3642E-03       684.714E-09  
               15.0019E-03        28.3051E-03       -26.5159E-03       887.203E-09  
               16.2515E-03        35.7297E-03       -33.7017E-03         1.1258E-06 
               17.5011E-03        44.3158E-03       -42.0875E-03         1.40335E-06
               18.7506E-03        54.1063E-03       -51.8267E-03         1.7227E-06 
               20.0001E-03        65.2801E-03       -62.897E-03          2.08664E-06
               21.2531E-03        78.0119E-03       -75.3731E-03         2.4992E-06 
               22.5027E-03        92.1755E-03       -89.3919E-03         2.96084E-06
               23.7522E-03       107.9E-03         -105.085E-03          3.47537E-06
               25.0017E-03       125.376E-03       -122.399E-03          4.04553E-06
               26.2512E-03       144.669E-03       -141.451E-03          4.67402E-06
               27.5007E-03       165.737E-03       -162.428E-03          5.36351E-06
               28.7502E-03       188.725E-03       -185.381E-03          6.11664E-06
               30.0033E-03       213.881E-03       -210.319E-03          6.93847E-06
               31.2528E-03       241.064E-03       -237.302E-03          7.82699E-06
               32.503E-03        270.341E-03       -266.536E-03          8.78701E-06
               33.7532E-03       301.888E-03       -298.003E-03          9.8211E-06 
               35.0033E-03       335.844E-03       -331.724E-03         10.9319E-06 
               36.2535E-03       372.162E-03       -367.892E-03         12.1217E-06 
               37.5002E-03       410.788E-03       -406.498E-03         13.3896E-06 
               38.7503E-03       452.129E-03       -447.701E-03         14.7451E-06 
               40.0005E-03       496.157E-03       -491.497E-03         16.1871E-06 
               41.2507E-03       542.814E-03       -538.066E-03         17.7182E-06 
               42.5009E-03       592.225E-03       -587.452E-03         19.3407E-06 
               43.7511E-03       644.56E-03        -639.601E-03         21.057E-06  
               45.0012E-03       699.835E-03       -694.673E-03         22.8696E-06 
               46.2514E-03       758.014E-03       -752.819E-03         24.7806E-06 
               47.5016E-03       819.276E-03       -814.019E-03         26.7926E-06 
               48.7518E-03       883.75E-03        -878.298E-03         28.9078E-06 
               50.0019E-03       951.397E-03       -945.75E-03          31.1284E-06 
               51.2521E-03         1.02224           -1.01662           33.4567E-06 
               52.5023E-03         1.09648           -1.09074           35.895E-06  
               53.7525E-03         1.17419           -1.16822           38.4455E-06 
               55.0027E-03         1.2553            -1.24924           41.1104E-06 
               56.2528E-03         1.33991           -1.33385           43.8918E-06 
               57.503E-03          1.42821           -1.42199           46.792E-06  
               58.7532E-03         1.5202            -1.51378           49.8131E-06 
               60.0034E-03         1.61583           -1.60938           52.9572E-06 
               61.25E-03           1.71499           -1.7085            56.2169E-06 
               62.5002E-03         1.81836           -1.81167           59.6127E-06 
               63.7504E-03         1.92564           -1.9188            63.1378E-06 
               65.0005E-03         2.03682           -2.02998           66.7941E-06 
               66.2507E-03         2.15209           -2.14517           70.5837E-06 
               67.5009E-03         2.27154           -2.2644            74.5086E-06 
               68.7511E-03         2.39509           -2.38785           78.5705E-06 
               70.0013E-03         2.52281           -2.51562           82.7717E-06 
               71.2514E-03         2.6549            -2.64754           87.114E-06  
               72.5016E-03         2.79135           -2.78381           91.5992E-06 
               73.7518E-03         2.93213           -2.92455           96.2293E-06 
               75.002E-03          3.07735           -3.06976          101.006E-06  
               76.2521E-03         3.22717           -3.21939          105.931E-06  
               77.5023E-03         3.38154           -3.37361          111.007E-06  
               78.7525E-03         3.54045           -3.53253          116.236E-06  
               80.0027E-03         3.70408           -3.69606          121.618E-06  
               81.2529E-03         3.8725            -3.86432          127.156E-06  
               82.503E-03          4.04566           -4.03738          132.851E-06  
               83.7532E-03         4.22359           -4.21534          138.706E-06  
               85.0034E-03         4.40649           -4.39812          144.722E-06  
               86.25E-03           4.59381           -4.58526          150.883E-06  
               87.5002E-03         4.78658           -4.77799          157.225E-06  
               88.7504E-03         4.98436           -4.97578          163.733E-06  
               90.0006E-03         5.18732           -5.17859          170.409E-06  
               91.2507E-03         5.39541           -5.38653          177.254E-06  
               92.5009E-03         5.60861           -5.59974          184.27E-06   
               93.7511E-03         5.82706           -5.81815          191.458E-06  
               95.0013E-03         6.05088           -6.04178          198.821E-06  
               96.2514E-03         6.27997           -6.27078          206.359E-06  
               97.5016E-03         6.51437           -6.50522          214.073E-06  
               98.7518E-03         6.75426           -6.74501          221.966E-06  
              100.002E-03          6.99965           -6.99022          230.04E-06   
              101.252E-03          7.25048           -7.24102          238.294E-06  
              102.502E-03          7.50683           -7.49739          246.732E-06  
              103.753E-03          7.76886           -7.75928          255.354E-06  
              105.003E-03          8.03652           -8.0268           264.162E-06  
              106.253E-03          8.30979           -8.30009          273.156E-06  
              107.503E-03          8.5888            -8.57907          282.34E-06   
              108.753E-03          8.87364           -8.86374          291.712E-06  
              110.003E-03          9.16424           -9.15426          301.276E-06  
              111.25E-03           9.45977           -9.44983          311.005E-06  
              112.5E-03            9.76207           -9.75205          320.954E-06  
              113.75E-03          10.0703           -10.0602           331.1E-06    
              115.001E-03         10.3845           -10.3743           341.44E-06   
              116.251E-03         10.7046           -10.6944           351.979E-06  
              117.501E-03         11.0308           -11.0205           362.715E-06  
              118.751E-03         11.3631           -11.3527           373.653E-06  
              120.001E-03         11.7015           -11.691            384.79E-06   
              121.251E-03         12.0459           -12.0355           396.131E-06  
              122.502E-03         12.3967           -12.3861           407.675E-06  
              123.752E-03         12.7536           -12.7429           419.423E-06  
              125.002E-03         13.1167           -13.106            431.377E-06  
              126.252E-03         13.4861           -13.4754           443.537E-06  
              127.502E-03         13.8618           -13.851            455.905E-06  
              128.753E-03         14.2439           -14.233            468.482E-06  
              130.003E-03         14.6322           -14.6214           481.27E-06   
              131.253E-03         15.0271           -15.0161           494.268E-06  
              132.503E-03         15.4283           -15.4173           507.477E-06  
              133.753E-03         15.836            -15.825            520.9E-06    
              135.003E-03         16.2502           -16.2392           534.536E-06  
              136.25E-03          16.6697           -16.6586           548.348E-06  
              137.5E-03           17.097            -17.0858           562.415E-06  
              138.75E-03          17.5308           -17.5196           576.698E-06  
              140.001E-03         17.9712           -17.96             591.2E-06    
              141.251E-03         18.4183           -18.407            605.918E-06  
              142.501E-03         18.872            -18.8606           620.857E-06  
              143.751E-03         19.3324           -19.321            636.015E-06  
              145.001E-03         19.7995           -19.7881           651.394E-06  
              146.251E-03         20.2734           -20.2618           666.996E-06  
              147.502E-03         20.7539           -20.7424           682.82E-06   
              148.752E-03         21.2412           -21.2297           698.868E-06  
              150.002E-03         21.7354           -21.7238           715.14E-06   
              151.252E-03         22.2365           -22.2248           731.636E-06  
              152.502E-03         22.7443           -22.7326           748.359E-06  
              153.753E-03         23.259            -23.2473           765.306E-06  
              155.003E-03         23.7806           -23.7688           782.482E-06  
              156.253E-03         24.3092           -24.2973           799.886E-06  
              157.503E-03         24.8445           -24.8328           817.517E-06  
              158.753E-03         25.387            -25.3752           835.379E-06  
              160.003E-03         25.9364           -25.9244           853.469E-06  
              161.25E-03          26.4911           -26.4792           871.738E-06  
              162.5E-03           27.0544           -27.0426           890.287E-06  
              163.75E-03          27.6248           -27.6129           909.07E-06   
              165.001E-03         28.2023           -28.1902           928.084E-06  
              166.251E-03         28.7867           -28.7747           947.332E-06  
              167.501E-03         29.3782           -29.3662           966.812E-06  
              168.751E-03         29.9769           -29.9648           986.526E-06  
              170.001E-03         30.5827           -30.5705             1.00647E-03
              171.252E-03         31.1955           -31.1834             1.02666E-03
              172.502E-03         31.8155           -31.8034             1.04707E-03
              173.752E-03         32.4427           -32.4304             1.06773E-03
              175.002E-03         33.077            -33.0647             1.08862E-03
              176.252E-03         33.7184           -33.7062             1.10974E-03
              177.502E-03         34.3671           -34.3548             1.13111E-03
              178.753E-03         35.023            -35.0107             1.15271E-03
              180.003E-03         35.6861           -35.6738             1.17455E-03
              181.253E-03         36.3563           -36.3441             1.19662E-03
              182.503E-03         37.0339           -37.0216             1.21894E-03
              183.753E-03         37.7187           -37.7063             1.24149E-03
              185.003E-03         38.4107           -38.3984             1.26428E-03
              186.25E-03          39.108            -39.0957             1.28725E-03
              187.5E-03           39.8146           -39.8022             1.31052E-03
              188.75E-03          40.5284           -40.516              1.33403E-03
              190.001E-03         41.2495           -41.2372             1.35778E-03
              191.251E-03         41.978            -41.9655             1.38177E-03
              192.501E-03         42.7137           -42.7012             1.406E-03  
              193.751E-03         43.4567           -43.4443             1.43047E-03
              195.001E-03         44.2071           -44.1947             1.45519E-03
              196.252E-03         44.9648           -44.9523             1.48014E-03
              197.502E-03         45.7298           -45.7173             1.50534E-03
              198.752E-03         46.5021           -46.4897             1.53078E-03
              200.002E-03         47.2817           -47.2693             1.55646E-03
              201.252E-03         48.0689           -48.0563             1.58238E-03
              202.502E-03         48.8632           -48.8506             1.60854E-03
              203.753E-03         49.6649           -49.6524             1.63495E-03
              205.003E-03         50.4739           -50.4615             1.6616E-03 
              206.253E-03         51.2904           -51.2778             1.68849E-03
              207.503E-03         52.1141           -52.1016             1.71562E-03
              208.753E-03         52.9452           -52.9328             1.74299E-03
              210.003E-03         53.7837           -53.7712             1.77061E-03
              211.25E-03          54.6272           -54.6146             1.79839E-03
              212.5E-03           55.4803           -55.4678             1.8265E-03 
              213.75E-03          56.3408           -56.3283             1.85484E-03
              215.001E-03         57.2087           -57.1962             1.88343E-03
              216.251E-03         58.084            -58.0714             1.91225E-03
              217.501E-03         58.9665           -58.954              1.94133E-03
              218.751E-03         59.8565           -59.844              1.97064E-03
              220.001E-03         60.7538           -60.7412             2.0002E-03 
              221.252E-03         61.6584           -61.6459             2.03E-03   
              222.502E-03         62.5703           -62.5579             2.06004E-03
              223.752E-03         63.4897           -63.4772             2.09032E-03
              225.002E-03         64.4164           -64.4038             2.12084E-03
              226.252E-03         65.3503           -65.3379             2.15161E-03
              227.502E-03         66.2916           -66.2793             2.18262E-03
              228.753E-03         67.2403           -67.2278             2.21387E-03
              230.003E-03         68.1963           -68.1838             2.24535E-03
              231.253E-03         69.1595           -69.1472             2.27709E-03
              232.503E-03         70.1301           -70.1177             2.30906E-03
              233.753E-03         71.1081           -71.0956             2.34127E-03
              235.003E-03         72.0931           -72.0807             2.37372E-03
              236.25E-03          73.0828           -73.0705             2.40632E-03
              237.5E-03           74.0825           -74.0701             2.43926E-03
              238.751E-03         75.0895           -75.0771             2.47243E-03
              240.001E-03         76.1037           -76.0914             2.50584E-03
              241.251E-03         77.1252           -77.1129             2.53948E-03
              242.501E-03         78.1539           -78.1415             2.57337E-03
              243.751E-03         79.1899           -79.1776             2.60749E-03
              245.001E-03         80.233            -80.2208             2.64186E-03
              246.252E-03         81.2834           -81.2713             2.67647E-03
              247.502E-03         82.3411           -82.3288             2.71131E-03
              248.752E-03         83.4059           -83.3936             2.74638E-03
              250.002E-03         84.4778           -84.4657             2.78169E-03
              251.251E-03         85.5599           -85.5479             2.81735E-03
              252.502E-03         86.6524           -86.6403             2.85333E-03
              253.751E-03         87.7489           -87.7368             2.88945E-03
              255.003E-03         88.8557           -88.8437             2.92591E-03
              256.251E-03         89.9665           -89.9545             2.96251E-03
              257.503E-03         91.0876           -91.0756             2.99944E-03
              258.752E-03         92.2126           -92.2007             3.0365E-03 
              260.E-03            93.3448           -93.3329             3.0738E-03 
              261.252E-03         94.4872           -94.4753             3.11143E-03
              262.5E-03           95.6335           -95.6216             3.14919E-03
              263.752E-03         96.79             -96.7782             3.1873E-03 
              265.001E-03         97.9504           -97.9386             3.22553E-03
              266.253E-03         99.1211           -99.1093             3.26409E-03
              267.501E-03        100.296           -100.284              3.30278E-03
              268.753E-03        101.48            -101.469              3.3418E-03 
              270.001E-03        102.669           -102.657              3.38095E-03
              271.253E-03        103.867           -103.855              3.42044E-03
              272.502E-03        105.069           -105.058              3.46005E-03
              273.75E-03         106.279           -106.267              3.49988E-03
              275.002E-03        107.498           -107.486              3.54006E-03
              276.251E-03        108.721           -108.709              3.58034E-03
              277.502E-03        109.954           -109.943              3.62097E-03
              278.751E-03        111.191           -111.179              3.66171E-03
              280.003E-03        112.438           -112.426              3.70279E-03
              281.251E-03        113.688           -113.676              3.74398E-03
              282.503E-03        114.948           -114.937              3.7855E-03 
              283.752E-03        116.212           -116.201              3.82715E-03
              285.E-03           117.483           -117.471              3.869E-03  
              286.252E-03        118.763           -118.752              3.91119E-03
              287.5E-03          120.047           -120.036              3.95349E-03
              288.752E-03        121.342           -121.33               3.99613E-03
              290.001E-03        122.639           -122.628              4.03887E-03
              291.253E-03        123.946           -123.935              4.08194E-03
              292.501E-03        125.257           -125.246              4.12512E-03
