
                             RF1_thin_desl_1e4  RF1_thin_desl_1e4  U1_thin_desl_1e4_
              293.753E-03        126.577           -126.566              4.16863E-03
              295.001E-03        127.901           -127.89               4.21224E-03
              296.253E-03        129.235           -129.224              4.25618E-03
              297.502E-03        130.572           -130.561              4.30023E-03
              298.75E-03         131.915           -131.904              4.34447E-03
              300.002E-03        133.268           -133.257              4.38906E-03
              301.251E-03        134.624           -134.613              4.43374E-03
              302.503E-03        135.99            -135.98               4.47875E-03
              303.751E-03        137.359           -137.348              4.52385E-03
              305.003E-03        138.738           -138.728              4.56929E-03
              306.251E-03        140.12            -140.109              4.6148E-03 
              307.503E-03        141.512           -141.501              4.66066E-03
              308.752E-03        142.906           -142.895              4.70659E-03
              310.E-03           144.306           -144.296              4.75272E-03
              311.252E-03        145.717           -145.706              4.79919E-03
              312.5E-03          147.13            -147.119              4.84574E-03
              313.752E-03        148.552           -148.542              4.89262E-03
              315.001E-03        149.978           -149.967              4.93958E-03
              316.253E-03        151.413           -151.402              4.98687E-03
              317.501E-03        152.85            -152.84               5.03423E-03
              318.753E-03        154.298           -154.287              5.08192E-03
              320.001E-03        155.747           -155.737              5.12966E-03
              321.253E-03        157.207           -157.197              5.17776E-03
              322.502E-03        158.668           -158.658              5.2259E-03 
              323.75E-03         160.135           -160.125              5.27426E-03
              325.002E-03        161.613           -161.603              5.32293E-03
              326.251E-03        163.092           -163.082              5.37166E-03
              327.503E-03        164.581           -164.571              5.42072E-03
              328.751E-03        166.072           -166.062              5.46986E-03
              330.003E-03        167.573           -167.563              5.5193E-03 
              331.251E-03        169.075           -169.066              5.5688E-03 
              332.503E-03        170.588           -170.578              5.61863E-03
              333.752E-03        172.102           -172.092              5.66851E-03
              335.E-03           173.621           -173.612              5.71857E-03
              336.252E-03        175.151           -175.141              5.76895E-03
              337.5E-03          176.681           -176.672              5.8194E-03 
              338.752E-03        178.222           -178.213              5.87016E-03
              340.001E-03        179.764           -179.754              5.92097E-03
              341.253E-03        181.315           -181.306              5.97209E-03
              342.501E-03        182.868           -182.859              6.02325E-03
              343.753E-03        184.431           -184.422              6.07473E-03
              345.002E-03        185.994           -185.985              6.12626E-03
              346.253E-03        187.568           -187.559              6.1781E-03 
              347.502E-03        189.142           -189.133              6.22997E-03
              348.75E-03         190.722           -190.713              6.28201E-03
              350.002E-03        192.311           -192.303              6.33437E-03
              351.251E-03        193.901           -193.893              6.38676E-03
              352.503E-03        195.501           -195.493              6.43948E-03
              353.751E-03        197.102           -197.093              6.49221E-03
              355.003E-03        198.712           -198.703              6.54527E-03
              356.251E-03        200.323           -200.314              6.59835E-03
              357.503E-03        201.943           -201.935              6.65172E-03
              358.752E-03        203.564           -203.555              6.70513E-03
              360.E-03           205.19            -205.181              6.75869E-03
              361.252E-03        206.825           -206.817              6.81257E-03
              362.5E-03          208.46            -208.452              6.86646E-03
              363.752E-03        210.106           -210.097              6.92068E-03
              365.001E-03        211.751           -211.743              6.97488E-03
              366.253E-03        213.406           -213.398              7.02941E-03
              367.501E-03        215.061           -215.052              7.08395E-03
              368.753E-03        216.725           -216.717              7.13879E-03
              370.002E-03        218.389           -218.381              7.19363E-03
              371.253E-03        220.063           -220.055              7.24877E-03
              372.502E-03        221.736           -221.729              7.30391E-03
              373.75E-03         223.414           -223.407              7.35921E-03
              375.002E-03        225.102           -225.094              7.41481E-03
              376.251E-03        226.789           -226.781              7.47039E-03
              377.503E-03        228.485           -228.478              7.52628E-03
              378.751E-03        230.181           -230.174              7.58215E-03
              380.003E-03        231.886           -231.879              7.63834E-03
              381.251E-03        233.591           -233.584              7.69453E-03
              382.503E-03        235.304           -235.297              7.75099E-03
              383.752E-03        237.018           -237.011              7.80744E-03
              385.E-03           238.735           -238.728              7.86404E-03
              386.252E-03        240.462           -240.455              7.92091E-03
              387.501E-03        242.187           -242.181              7.97778E-03
              388.752E-03        243.922           -243.915              8.03494E-03
              390.001E-03        245.656           -245.649              8.09209E-03
              391.253E-03        247.399           -247.392              8.1495E-03 
              392.501E-03        249.141           -249.134              8.20689E-03
              393.753E-03        250.891           -250.885              8.26456E-03
              395.002E-03        252.641           -252.635              8.32224E-03
              396.25E-03         254.395           -254.388              8.38001E-03
              397.502E-03        256.157           -256.151              8.43806E-03
              398.75E-03         257.918           -257.912              8.4961E-03 
              400.002E-03        259.688           -259.682              8.55442E-03
              401.251E-03        261.456           -261.45               8.61269E-03
              402.503E-03        263.234           -263.227              8.67123E-03
              403.751E-03        265.009           -265.003              8.72976E-03
              405.003E-03        266.793           -266.788              8.78857E-03
              406.251E-03        268.576           -268.57               8.8473E-03 
              407.503E-03        270.368           -270.362              8.90631E-03
              408.752E-03        272.157           -272.152              8.96531E-03
              410.E-03           273.95            -273.945              9.02438E-03
              411.252E-03        275.752           -275.746              9.08373E-03
              412.501E-03        277.551           -277.546              9.14305E-03
              413.753E-03        279.359           -279.354              9.2026E-03 
              415.001E-03        281.165           -281.16               9.26213E-03
              416.253E-03        282.98            -282.975              9.32193E-03
              417.501E-03        284.792           -284.787              9.38161E-03
              418.753E-03        286.613           -286.608              9.44162E-03
              420.002E-03        288.431           -288.426              9.50146E-03
              421.25E-03         290.253           -290.248              9.56153E-03
              422.502E-03        292.082           -292.078              9.62186E-03
              423.75E-03         293.91            -293.905              9.68204E-03
              425.002E-03        295.746           -295.74               9.74244E-03
              426.251E-03        297.578           -297.573              9.80294E-03
              427.503E-03        299.419           -299.415              9.86361E-03
              428.751E-03        301.258           -301.253              9.92411E-03
              430.003E-03        303.104           -303.1                9.98496E-03
              431.251E-03        304.948           -304.944             10.0458E-03 
              432.503E-03        306.799           -306.795             10.1068E-03 
              433.752E-03        308.648           -308.644             10.1676E-03 
              435.E-03           310.5             -310.496             10.2286E-03 
              436.252E-03        312.359           -312.355             10.29E-03   
              437.501E-03        314.215           -314.211             10.3512E-03 
              438.753E-03        316.079           -316.075             10.4125E-03 
              440.001E-03        317.94            -317.936             10.4738E-03 
              441.253E-03        319.808           -319.805             10.5354E-03 
              442.501E-03        321.674           -321.67              10.5969E-03 
              443.753E-03        323.546           -323.543             10.6586E-03 
              445.002E-03        325.416           -325.413             10.7201E-03 
              446.25E-03         327.288           -327.285             10.7818E-03 
              447.502E-03        329.167           -329.164             10.8439E-03 
              448.75E-03         331.043           -331.04              10.9057E-03 
              450.002E-03        332.926           -332.923             10.9677E-03 
              451.251E-03        334.806           -334.803             11.0295E-03 
              452.503E-03        336.693           -336.689             11.0917E-03 
              453.751E-03        338.576           -338.573             11.1539E-03 
              455.003E-03        340.466           -340.463             11.2162E-03 
              456.251E-03        342.353           -342.35              11.2783E-03 
              457.503E-03        344.247           -344.244             11.3407E-03 
              458.752E-03        346.137           -346.134             11.4028E-03 
              460.E-03           348.029           -348.026             11.4652E-03 
              461.252E-03        349.927           -349.925             11.5279E-03 
              462.501E-03        351.822           -351.819             11.5904E-03 
              463.753E-03        353.723           -353.721             11.6531E-03 
              465.001E-03        355.621           -355.618             11.7155E-03 
              466.253E-03        357.524           -357.522             11.7782E-03 
              467.501E-03        359.425           -359.423             11.8407E-03 
              468.753E-03        361.331           -361.329             11.9035E-03 
              470.002E-03        363.234           -363.232             11.9663E-03 
              471.25E-03         365.137           -365.136             12.0291E-03 
              472.502E-03        367.048           -367.046             12.0921E-03 
              473.75E-03         368.953           -368.952             12.1549E-03 
              475.002E-03        370.866           -370.864             12.2179E-03 
              476.251E-03        372.773           -372.772             12.2807E-03 
              477.503E-03        374.687           -374.686             12.3438E-03 
              478.751E-03        376.597           -376.595             12.4066E-03 
              480.003E-03        378.512           -378.511             12.4695E-03 
              481.252E-03        380.424           -380.422             12.5324E-03 
              482.503E-03        382.341           -382.34              12.5957E-03 
              483.752E-03        384.254           -384.252             12.6589E-03 
              485.E-03           386.167           -386.165             12.722E-03  
              486.252E-03        388.086           -388.085             12.7854E-03 
              487.501E-03        390.              -389.999             12.8485E-03 
              488.753E-03        391.921           -391.92              12.9118E-03 
              490.001E-03        393.836           -393.835             12.975E-03  
              491.253E-03        395.756           -395.756             13.0383E-03 
              492.501E-03        397.672           -397.672             13.1015E-03 
              493.753E-03        399.594           -399.594             13.1648E-03 
              495.002E-03        401.51            -401.51              13.2279E-03 
              496.25E-03         403.427           -403.427             13.2911E-03 
              497.502E-03        405.349           -405.349             13.3544E-03 
              498.751E-03        407.266           -407.266             13.4175E-03 
              500.002E-03        409.188           -409.189             13.4809E-03 
              501.251E-03        411.105           -411.105             13.544E-03  
              502.503E-03        413.027           -413.027             13.6073E-03 
              503.751E-03        414.944           -414.944             13.6705E-03 
              505.003E-03        416.866           -416.866             13.7338E-03 
              506.252E-03        418.782           -418.783             13.797E-03  
              507.5E-03          420.699           -420.699             13.8601E-03 
              508.752E-03        422.62            -422.62              13.9234E-03 
              510.E-03           424.535           -424.536             13.9866E-03 
              511.252E-03        426.455           -426.456             14.0499E-03 
              512.501E-03        428.37            -428.371             14.1131E-03 
              513.753E-03        430.29            -430.291             14.1764E-03 
              515.001E-03        432.203           -432.204             14.2395E-03 
              516.253E-03        434.122           -434.123             14.3029E-03 
              517.501E-03        436.034           -436.035             14.366E-03  
              518.753E-03        437.951           -437.952             14.4293E-03 
              520.002E-03        439.862           -439.863             14.4922E-03 
              521.25E-03         441.772           -441.773             14.555E-03  
              522.502E-03        443.686           -443.688             14.618E-03  
              523.751E-03        445.595           -445.596             14.6808E-03 
              525.003E-03        447.508           -447.509             14.7438E-03 
              526.251E-03        449.414           -449.416             14.8066E-03 
              527.503E-03        451.325           -451.327             14.8696E-03 
              528.751E-03        453.23            -453.232             14.9324E-03 
              530.003E-03        455.139           -455.141             14.9954E-03 
              531.252E-03        457.041           -457.043             15.0582E-03 
              532.5E-03          458.942           -458.944             15.1209E-03 
              533.752E-03        460.847           -460.85              15.1835E-03 
              535.E-03           462.746           -462.748             15.246E-03  
              536.252E-03        464.648           -464.651             15.3087E-03 
              537.501E-03        466.544           -466.547             15.3712E-03 
              538.753E-03        468.444           -468.446             15.4338E-03 
              540.001E-03        470.337           -470.339             15.4963E-03 
              541.253E-03        472.233           -472.236             15.5588E-03 
              542.501E-03        474.123           -474.126             15.621E-03  
              543.753E-03        476.016           -476.02              15.6834E-03 
              545.002E-03        477.903           -477.906             15.7455E-03 
              546.25E-03         479.788           -479.791             15.8077E-03 
              547.502E-03        481.677           -481.68              15.87E-03   
              548.751E-03        483.557           -483.561             15.932E-03  
              550.003E-03        485.443           -485.446             15.994E-03  
              551.251E-03        487.32            -487.323             16.0558E-03 
              552.503E-03        489.2             -489.204             16.1178E-03 
              553.751E-03        491.074           -491.078             16.1797E-03 
              555.003E-03        492.951           -492.954             16.2416E-03 
              556.252E-03        494.821           -494.824             16.3031E-03 
              557.5E-03          496.687           -496.692             16.3646E-03 
              558.752E-03        498.558           -498.562             16.4262E-03 
              560.E-03           500.421           -500.424             16.4877E-03 
              561.252E-03        502.287           -502.291             16.5492E-03 
              562.501E-03        504.145           -504.15              16.6104E-03 
              563.753E-03        506.006           -506.011             16.6717E-03 
              565.001E-03        507.86            -507.863             16.7328E-03 
              566.253E-03        509.716           -509.721             16.7941E-03 
              567.501E-03        511.564           -511.57              16.8549E-03 
              568.753E-03        513.416           -513.42              16.9159E-03 
              570.002E-03        515.26            -515.263             16.9767E-03 
              571.25E-03         517.1             -517.105             17.0374E-03 
              572.502E-03        518.943           -518.949             17.098E-03  
              573.751E-03        520.779           -520.783             17.1585E-03 
              575.003E-03        522.617           -522.621             17.2192E-03 
              576.251E-03        524.447           -524.452             17.2794E-03 
              577.503E-03        526.279           -526.284             17.3398E-03 
              578.751E-03        528.103           -528.108             17.3999E-03 
              580.003E-03        529.929           -529.934             17.4601E-03 
              581.252E-03        531.747           -531.753             17.52E-03   
              582.5E-03          533.563           -533.567             17.5798E-03 
              583.752E-03        535.38            -535.385             17.6398E-03 
              585.E-03           537.188           -537.194             17.6993E-03 
              586.252E-03        538.999           -539.005             17.759E-03  
              587.501E-03        540.802           -540.807             17.8185E-03 
              588.753E-03        542.606           -542.612             17.8778E-03 
              590.001E-03        544.402           -544.408             17.9371E-03 
              591.253E-03        546.2             -546.206             17.9964E-03 
              592.502E-03        547.99            -547.995             18.0553E-03 
              593.753E-03        549.78            -549.786             18.1143E-03 
              595.002E-03        551.562           -551.569             18.1731E-03 
              596.25E-03         553.341           -553.347             18.2316E-03 
              597.502E-03        555.122           -555.127             18.2903E-03 
              598.751E-03        556.893           -556.899             18.3488E-03 
              600.003E-03        558.666           -558.673             18.4071E-03 
              601.251E-03        560.431           -560.437             18.4653E-03 
              602.503E-03        562.197           -562.202             18.5235E-03 
              603.751E-03        563.953           -563.96              18.5814E-03 
              605.003E-03        565.711           -565.719             18.6394E-03 
              606.252E-03        567.461           -567.466             18.697E-03  
              607.5E-03          569.207           -569.212             18.7545E-03 
              608.752E-03        570.952           -570.959             18.8121E-03 
              610.E-03           572.689           -572.697             18.8693E-03 
              611.252E-03        574.428           -574.434             18.9265E-03 
              612.501E-03        576.158           -576.164             18.9834E-03 
              613.753E-03        577.887           -577.895             19.0404E-03 
              615.001E-03        579.608           -579.616             19.0972E-03 
              616.253E-03        581.331           -581.337             19.1542E-03 
              617.502E-03        583.044           -583.05              19.2104E-03 
              618.75E-03         584.751           -584.76              19.2666E-03 
              620.002E-03        586.46            -586.468             19.323E-03  
              621.25E-03         588.162           -588.167             19.3791E-03 
              622.502E-03        589.861           -589.868             19.4352E-03 
              623.751E-03        591.551           -591.56              19.4907E-03 
              625.003E-03        593.243           -593.25              19.5464E-03 
              626.251E-03        594.926           -594.932             19.602E-03  
              627.503E-03        596.607           -596.616             19.6577E-03 
              628.751E-03        598.28            -598.289             19.7126E-03 
              630.003E-03        599.954           -599.961             19.7676E-03 
              631.252E-03        601.618           -601.625             19.8225E-03 
              632.5E-03          603.276           -603.285             19.8773E-03 
              633.752E-03        604.935           -604.944             19.9319E-03 
              635.001E-03        606.586           -606.592             19.9862E-03 
              636.252E-03        608.234           -608.243             20.0405E-03 
              637.501E-03        609.874           -609.883             20.0948E-03 
              638.753E-03        611.515           -611.522             20.1488E-03 
              640.001E-03        613.145           -613.152             20.2024E-03 
              641.253E-03        614.773           -614.783             20.256E-03  
              642.502E-03        616.394           -616.403             20.3096E-03 
              643.75E-03         618.01            -618.018             20.3629E-03 
              645.002E-03        619.624           -619.633             20.4159E-03 
              646.25E-03         621.228           -621.239             20.4688E-03 
              647.502E-03        622.834           -622.842             20.5219E-03 
              648.751E-03        624.429           -624.436             20.5744E-03 
              650.003E-03        626.022           -626.031             20.6268E-03 
