
                             RF1_thick_desl_1e  RF1_thick_desl_1e  U1_thick_desl_1e5
                  X               5_aplic            5_apoio             _aplic     

                0.                 0.                 0.                 0.         
                1.25151E-03      397.203E-06         43.3944E-03       691.444E-12  
                2.50329E-03        1.38172E-03      109.469E-06          5.52296E-09
                3.75507E-03        3.00895E-03       67.7014E-06        18.607E-09  
                5.00683E-03        5.25564E-03       -1.8744E-06        44.0247E-09 
                6.25859E-03        8.17612E-03      -74.3639E-06        85.8263E-09 
                7.50033E-03       11.6963E-03      -245.864E-06        147.442E-09  
                8.75213E-03       15.8403E-03      -429.909E-06        233.827E-09  
               10.0039E-03        20.5821E-03        -1.59474E-03      348.532E-09  
               11.2558E-03        25.9871E-03        -3.80468E-03      495.483E-09  
               12.5076E-03        31.9943E-03        -7.48867E-03      678.578E-09  
               13.7594E-03        38.5544E-03       -12.5901E-03       901.682E-09  
               15.0012E-03        45.6931E-03       -18.8739E-03         1.16631E-06
               16.2529E-03        53.6839E-03       -26.3742E-03         1.48052E-06
               17.5046E-03        62.7056E-03       -35.0398E-03         1.84612E-06
               18.7563E-03        73.1239E-03       -45.018E-03          2.26685E-06
               20.008E-03         85.3739E-03       -56.2678E-03         2.74644E-06
               21.2597E-03        99.6876E-03       -68.6977E-03         3.28856E-06
               22.5014E-03       115.836E-03        -82.1646E-03         3.89173E-06
               23.7531E-03       133.887E-03        -97.0782E-03         4.56927E-06
               25.0048E-03       153.651E-03       -113.466E-03          5.32021E-06
               26.2565E-03       175.155E-03       -131.551E-03          6.14807E-06
               27.5082E-03       198.476E-03       -151.807E-03          7.05644E-06
               28.7599E-03       223.618E-03       -174.514E-03          8.04878E-06
               30.0016E-03       250.299E-03       -199.596E-03          9.11958E-06
               31.2533E-03       278.934E-03       -227.414E-03         10.2896E-06 
               32.505E-03        309.416E-03       -257.638E-03         11.5538E-06 
               33.7567E-03       341.974E-03       -290.066E-03         12.9158E-06 
               35.0084E-03       376.96E-03        -324.757E-03         14.3788E-06 
               36.2501E-03       414.427E-03       -361.482E-03         15.9333E-06 
               37.5018E-03       455.165E-03       -400.908E-03         17.6075E-06 
               38.7535E-03       498.972E-03       -442.664E-03         19.3926E-06 
               40.0051E-03       545.865E-03       -486.735E-03         21.2919E-06 
               41.2568E-03       595.664E-03       -533.226E-03         23.3086E-06 
               42.5085E-03       648.137E-03       -582.422E-03         25.4458E-06 
               43.7502E-03       702.822E-03       -634.284E-03         27.6882E-06 
               45.0019E-03       760.799E-03       -689.91E-03          30.075E-06  
               46.2536E-03       821.701E-03       -749.078E-03         32.5917E-06 
               47.5053E-03       885.42E-03        -811.863E-03         35.2415E-06 
               48.757E-03        951.952E-03       -878.139E-03         38.0273E-06 
               50.0087E-03         1.02146         -947.764E-03         40.9521E-06 
               51.2504E-03         1.09365           -1.01999           43.9939E-06 
               52.5021E-03         1.17002           -1.09599           47.2046E-06 
               53.7538E-03         1.25032           -1.17528           50.5634E-06 
               55.0055E-03         1.33469           -1.25793           54.0727E-06 
