
                             RF1_thick_desl_1e  RF1_thick_desl_1e  U1_thick_desl_1e5
               56.2572E-03         1.42308           -1.34396           57.7359E-06 
               57.5089E-03         1.51533           -1.43338           61.5557E-06 
               58.7506E-03         1.61055           -1.52554           65.5022E-06 
               60.0023E-03         1.71019           -1.6222            69.6423E-06 
               61.254E-03          1.81346           -1.72306           73.947E-06  
               62.5057E-03         1.92037           -1.82842           78.4196E-06 
               63.7574E-03         2.0311            -1.93824           83.0623E-06 
               65.0091E-03         2.14571           -2.05251           87.8781E-06 
               66.2507E-03         2.26319           -2.17011           92.829E-06  
               67.5024E-03         2.38557           -2.29278           97.9975E-06 
               68.7541E-03         2.51225           -2.41947          103.347E-06  
               70.0058E-03         2.64361           -2.55027          108.879E-06  
               71.2575E-03         2.77986           -2.6852           114.598E-06  
               72.5092E-03         2.92105           -2.82433          120.506E-06  
               73.7509E-03         3.06586           -2.9666           126.555E-06  
               75.0026E-03         3.21642           -3.11435          132.845E-06  
               76.2543E-03         3.3714            -3.2666           139.331E-06  
               77.506E-03          3.53081           -3.42364          146.016E-06  
               78.7577E-03         3.69474           -3.58577          152.901E-06  
               80.0094E-03         3.86318           -3.75322          159.989E-06  
               81.2511E-03         4.03476           -3.92463          167.224E-06  
               82.5028E-03         4.21239           -4.10254          174.724E-06  
               83.7545E-03         4.39485           -4.28535          182.433E-06  
               85.0062E-03         4.58226           -4.47293          190.355E-06  
               86.2579E-03         4.77482           -4.66534          198.492E-06  
               87.5096E-03         4.9729            -4.8626           206.845E-06  
               88.7513E-03         5.17505           -5.06314          215.348E-06  
               90.003E-03          5.38444           -5.27026          224.139E-06  
               91.2547E-03         5.59926           -5.48246          233.153E-06  
               92.5064E-03         5.81927           -5.69986          242.393E-06  
               93.7581E-03         6.04434           -5.92265          251.86E-06   
               95.0098E-03         6.27452           -6.15109          261.556E-06  
               96.2514E-03         6.50798           -6.38351          271.404E-06  
               97.5031E-03         6.74859           -6.62378          281.563E-06  
               98.7548E-03         6.99454           -6.86999          291.958E-06  
              100.007E-03          7.24587           -7.12193          302.59E-06   
              101.258E-03          7.50277           -7.37936          313.461E-06  
              102.51E-03           7.76546           -7.64212          324.573E-06  
              103.752E-03          8.032             -7.90812          335.837E-06  
              105.003E-03          8.30686           -8.18171          347.435E-06  
              106.255E-03          8.58797           -8.46114          359.279E-06  
              107.507E-03          8.87527           -8.74609          371.373E-06  
              108.758E-03          9.16854           -9.03681          383.716E-06  
              110.E-03             9.46508           -9.33106          396.21E-06   
              111.252E-03          9.76958           -9.63389          409.057E-06  
              112.503E-03         10.0798            -9.94299          422.16E-06   
              113.755E-03         10.3957           -10.2586           435.52E-06   
              115.007E-03         10.7177           -10.5808           449.137E-06  
              116.259E-03         11.0456           -10.9094           463.016E-06  
              117.5E-03           11.3769           -11.2414           477.043E-06  
              118.752E-03         11.717            -11.582            491.445E-06  
              120.004E-03         12.0636           -11.9285           506.113E-06  
              121.255E-03         12.4169           -12.2809           521.046E-06  
              122.507E-03         12.777            -12.6394           536.248E-06  
              123.759E-03         13.1437           -13.0041           551.72E-06   
              125.E-03            13.514            -13.3722           567.336E-06  
              126.252E-03         13.8936           -13.7496           583.35E-06   
              127.504E-03         14.2793           -14.1335           599.637E-06  
              128.756E-03         14.6711           -14.5241           616.199E-06  
              130.007E-03         15.069            -14.9217           633.038E-06  
              131.259E-03         15.4733           -15.3263           650.155E-06  
              132.501E-03         15.8808           -15.7345           667.412E-06  
              133.752E-03         16.2981           -16.1526           685.088E-06  
              135.004E-03         16.722            -16.5772           703.044E-06  
              136.256E-03         17.1527           -17.0081           721.284E-06  
              137.507E-03         17.5904           -17.4454           739.808E-06  
              138.759E-03         18.0352           -17.889            758.619E-06  
              140.001E-03         18.4836           -18.3357           777.563E-06  
              141.252E-03         18.9426           -18.7926           796.945E-06  
              142.504E-03         19.4084           -19.2563           816.618E-06  
              143.756E-03         19.8807           -19.727            836.581E-06  
              145.008E-03         20.3596           -20.2047           856.834E-06  
              146.259E-03         20.8449           -20.6895           877.38E-06   
              147.501E-03         21.333            -21.1777           898.053E-06  
              148.753E-03         21.8316           -21.6772           919.185E-06  
              150.004E-03         22.3372           -22.1838           940.613E-06  
              151.256E-03         22.8499           -22.6974           962.337E-06  
              152.508E-03         23.3697           -23.2176           984.356E-06  
              153.759E-03         23.8966           -23.7445             1.00668E-03
              155.001E-03         24.4266           -24.2737             1.02911E-03
              156.253E-03         24.9684           -24.8141             1.05203E-03
              157.505E-03         25.5175           -25.3614             1.07525E-03
              158.756E-03         26.074            -25.9159             1.09877E-03
              160.008E-03         26.6374           -26.4776             1.12259E-03
              161.26E-03          27.2076           -27.0465             1.14672E-03
              162.501E-03         27.7798           -27.6183             1.17096E-03
              163.753E-03         28.3635           -28.2021             1.19569E-03
              165.005E-03         28.9542           -28.7936             1.22073E-03
              166.256E-03         29.5521           -29.3925             1.24607E-03
              167.508E-03         30.1572           -29.9988             1.27173E-03
              168.76E-03          30.7697           -30.6121             1.29769E-03
              170.001E-03         31.3846           -31.2273             1.32375E-03
              171.253E-03         32.0121           -31.8542             1.35033E-03
              172.505E-03         32.6471           -32.4882             1.37722E-03
              173.757E-03         33.2898           -33.1294             1.40441E-03
              175.008E-03         33.9401           -33.7778             1.43193E-03
              176.26E-03          34.5977           -34.4338             1.45975E-03
              177.502E-03         35.257            -35.0919             1.48765E-03
              178.753E-03         35.9285           -35.7628             1.5161E-03 
              180.005E-03         36.607            -36.4414             1.54485E-03
              181.257E-03         37.2926           -37.1277             1.57393E-03
              182.508E-03         37.9854           -37.8217             1.60331E-03
              183.75E-03          38.6802           -38.5176             1.63277E-03
              185.002E-03         39.388            -39.2265             1.66279E-03
              186.254E-03         40.1034           -39.9425             1.69311E-03
              187.505E-03         40.8265           -40.6655             1.72376E-03
              188.757E-03         41.5573           -41.3955             1.75472E-03
              190.009E-03         42.2959           -42.1328             1.786E-03  
              191.25E-03          43.0361           -42.8715             1.81734E-03
              192.502E-03         43.7899           -43.6238             1.84925E-03
              193.754E-03         44.551            -44.3836             1.88148E-03
              195.005E-03         45.3193           -45.1511             1.91402E-03
              196.257E-03         46.0945           -45.9264             1.94688E-03
              197.509E-03         46.8769           -46.7094             1.98007E-03
              198.75E-03          47.6602           -47.4939             2.0133E-03 
              200.002E-03         48.4573           -48.2924             2.04711E-03
              201.254E-03         49.2621           -49.0985             2.08125E-03
              202.506E-03         50.0746           -49.9118             2.1157E-03 
              203.757E-03         50.8948           -50.7322             2.15048E-03
              205.009E-03         51.7228           -51.5598             2.18557E-03
              206.251E-03         52.5517           -52.3878             2.22069E-03
              207.502E-03         53.3952           -53.2299             2.25642E-03
              208.754E-03         54.2463           -54.0795             2.29247E-03
              210.006E-03         55.105            -54.9369             2.32884E-03
              211.257E-03         55.9708           -55.8021             2.36553E-03
              212.509E-03         56.8438           -56.675              2.40254E-03
              213.751E-03         57.7168           -57.5485             2.43957E-03
              215.002E-03         58.604            -58.4368             2.47721E-03
              216.254E-03         59.4986           -59.3329             2.51518E-03
              217.506E-03         60.401            -60.2367             2.55346E-03
              218.758E-03         61.311            -61.1479             2.59206E-03
              220.009E-03         62.2288           -62.0663             2.63099E-03
              221.251E-03         63.1469           -62.9843             2.66991E-03
              222.503E-03         64.0801           -63.9168             2.70947E-03
              223.754E-03         65.021            -64.8566             2.74935E-03
              225.006E-03         65.9696           -65.8039             2.78955E-03
              226.258E-03         66.9258           -66.7589             2.83006E-03
              227.509E-03         67.8893           -67.7215             2.87089E-03
              228.751E-03         68.8522           -68.6842             2.91172E-03
              230.003E-03         69.8297           -69.6623             2.95318E-03
              231.255E-03         70.8144           -70.6481             2.99497E-03
              232.506E-03         71.8064           -71.6416             3.03707E-03
              233.758E-03         72.8059           -72.6426             3.07949E-03
              235.01E-03          73.8132           -73.6512             3.12223E-03
              236.251E-03         74.8199           -74.6588             3.16494E-03
              237.503E-03         75.8423           -75.6816             3.2083E-03 
              238.755E-03         76.8726           -76.7114             3.25198E-03
              240.006E-03         77.9104           -77.7483             3.29598E-03
              241.258E-03         78.9557           -78.7924             3.3403E-03 
              242.51E-03          80.0086           -79.8441             3.38492E-03
              243.751E-03         81.0603           -80.895              3.4295E-03 
              245.003E-03         82.1275           -81.9621             3.47476E-03
              246.255E-03         83.2018           -83.0367             3.52033E-03
              247.507E-03         84.2829           -84.1189             3.56621E-03
              248.758E-03         85.3711           -85.2085             3.6124E-03 
              250.01E-03          86.4666           -86.3057             3.6589E-03 
              251.252E-03         87.5608           -87.4014             3.70534E-03
              252.503E-03         88.6714           -88.5132             3.75247E-03
              253.755E-03         89.7895           -89.6319             3.79991E-03
              255.007E-03         90.9152           -90.7575             3.84765E-03
              256.258E-03         92.0484           -91.89               3.8957E-03 
              257.5E-03           93.1798           -93.0204             3.94368E-03
              258.752E-03         94.3276           -94.1671             3.99235E-03
              260.004E-03         95.4826           -95.3214             4.04131E-03
              261.255E-03         96.6447           -96.4832             4.0906E-03 
              262.507E-03         97.8137           -97.6524             4.14019E-03
              263.759E-03         98.9895           -98.8291             4.19009E-03
              265.E-03           100.163           -100.004              4.23988E-03
              266.252E-03        101.352           -101.195              4.29038E-03
              267.504E-03        102.549           -102.393              4.34118E-03
              268.755E-03        103.753           -103.599              4.3923E-03 
              270.007E-03        104.964           -104.811              4.4437E-03 
              271.259E-03        106.183           -106.03               4.49541E-03
              272.5E-03          107.4             -107.246              4.547E-03  
              273.752E-03        108.633           -108.479              4.59931E-03
              275.004E-03        109.873           -109.718              4.65191E-03
              276.256E-03        111.121           -110.965              4.70483E-03
              277.507E-03        112.375           -112.219              4.75803E-03
              278.759E-03        113.636           -113.48               4.81152E-03
              280.001E-03        114.894           -114.738              4.86488E-03
              281.252E-03        116.168           -116.014              4.91897E-03
              282.504E-03        117.448           -117.296              4.97335E-03
              283.756E-03        118.736           -118.586              5.02803E-03
              285.007E-03        120.031           -119.882              5.08299E-03
              286.259E-03        121.333           -121.185              5.13825E-03
              287.501E-03        122.631           -122.484              5.19335E-03
              288.753E-03        123.947           -123.8                5.24918E-03
              290.004E-03        125.27            -125.122              5.3053E-03 
              291.256E-03        126.6             -126.451              5.36171E-03
              292.508E-03        127.936           -127.787              5.4184E-03 
              293.759E-03        129.28            -129.13               5.47538E-03
              295.001E-03        130.618           -130.469              5.5322E-03 
              296.253E-03        131.974           -131.825              5.58973E-03
              297.504E-03        133.337           -133.189              5.64756E-03
              298.756E-03        134.705           -134.559              5.70567E-03
              300.008E-03        136.08            -135.936              5.76407E-03
              301.259E-03        137.462           -137.32               5.82272E-03
              302.501E-03        138.839           -138.698              5.88121E-03
              303.753E-03        140.235           -140.095              5.94043E-03
              305.005E-03        141.637           -141.497              5.99992E-03
              306.256E-03        143.045           -142.905              6.0597E-03 
              307.508E-03        144.461           -144.32               6.11973E-03
              308.76E-03         145.883           -145.741              6.18005E-03
              310.001E-03        147.299           -147.157              6.24017E-03
              311.253E-03        148.733           -148.591              6.30102E-03
              312.505E-03        150.173           -150.032              6.36214E-03
              313.756E-03        151.62            -151.479              6.42353E-03
              315.008E-03        153.072           -152.933              6.4852E-03 
              316.26E-03         154.53            -154.393              6.54712E-03
              317.502E-03        155.982           -155.848              6.60881E-03
              318.753E-03        157.453           -157.32               6.67126E-03
              320.005E-03        158.93            -158.798              6.73397E-03
              321.257E-03        160.414           -160.283              6.79695E-03
              322.508E-03        161.904           -161.773              6.86018E-03
              323.75E-03         163.389           -163.256              6.92315E-03
              325.002E-03        164.891           -164.758              6.9869E-03 
              326.253E-03        166.399           -166.265              7.05089E-03
              327.505E-03        167.913           -167.779              7.11514E-03
              328.757E-03        169.432           -169.3                7.17966E-03
              330.008E-03        170.958           -170.826              7.24441E-03
              331.25E-03         172.476           -172.346              7.3089E-03 
              332.502E-03        174.013           -173.885              7.37415E-03
              333.754E-03        175.555           -175.429              7.43963E-03
              335.005E-03        177.103           -176.979              7.50537E-03
              336.257E-03        178.657           -178.534              7.57136E-03
              337.509E-03        180.217           -180.095              7.6376E-03 
              338.75E-03         181.771           -181.649              7.70354E-03
              340.002E-03        183.343           -183.22               7.77024E-03
              341.254E-03        184.921           -184.798              7.83719E-03
              342.505E-03        186.504           -186.38               7.90439E-03
              343.757E-03        188.092           -187.968              7.97181E-03
              345.009E-03        189.686           -189.563              8.03947E-03
              346.251E-03        191.272           -191.15               8.10681E-03
              347.502E-03        192.877           -192.756              8.17491E-03
              348.754E-03        194.486           -194.367              8.24326E-03
              350.006E-03        196.1             -195.984              8.31185E-03
              351.257E-03        197.72            -197.605              8.38065E-03
              352.509E-03        199.346           -199.232              8.44967E-03
              353.751E-03        200.964           -200.851              8.51838E-03
              355.002E-03        202.6             -202.488              8.58784E-03
              356.254E-03        204.242           -204.13               8.65753E-03
              357.506E-03        205.89            -205.777              8.72744E-03
              358.757E-03        207.542           -207.429              8.79758E-03
              360.009E-03        209.199           -209.086              8.86792E-03
              361.251E-03        210.848           -210.735              8.93791E-03
              362.503E-03        212.515           -212.403              9.00869E-03
              363.754E-03        214.186           -214.076              9.07968E-03
              365.006E-03        215.863           -215.754              9.15086E-03
              366.258E-03        217.543           -217.437              9.22226E-03
              367.509E-03        219.229           -219.125              9.29386E-03
              368.751E-03        220.906           -220.804              9.36509E-03
              370.003E-03        222.602           -222.501              9.4371E-03 
              371.254E-03        224.303           -224.202              9.50932E-03
              372.506E-03        226.009           -225.908              9.58174E-03
              373.758E-03        227.719           -227.618              9.65434E-03
              375.01E-03         229.435           -229.333              9.72717E-03
              376.251E-03        231.141           -231.039              9.79958E-03
              377.503E-03        232.865           -232.763              9.87275E-03
              378.755E-03        234.593           -234.492              9.94616E-03
              380.006E-03        236.325           -236.226             10.0197E-03 
              381.258E-03        238.062           -237.965             10.0935E-03 
              382.51E-03         239.803           -239.708             10.1674E-03 
              383.751E-03        241.534           -241.441             10.241E-03  
              385.003E-03        243.284           -243.192             10.3153E-03 
              386.255E-03        245.038           -244.948             10.3898E-03 
              387.506E-03        246.796           -246.707             10.4644E-03 
              388.758E-03        248.559           -248.47              10.5393E-03 
              390.01E-03         250.327           -250.238             10.6143E-03 
              391.252E-03        252.084           -251.995             10.6889E-03 
              392.503E-03        253.859           -253.77              10.7643E-03 
              393.755E-03        255.639           -255.549             10.8398E-03 
              395.007E-03        257.422           -257.333             10.9155E-03 
              396.258E-03        259.208           -259.12              10.9914E-03 
              397.5E-03          260.984           -260.898             11.0669E-03 
              398.752E-03        262.778           -262.694             11.1431E-03 
              400.003E-03        264.576           -264.494             11.2194E-03 
              401.255E-03        266.377           -266.297             11.296E-03  
              402.507E-03        268.182           -268.104             11.3726E-03 
              403.758E-03        269.991           -269.914             11.4495E-03 
              405.E-03           271.79            -271.714             11.5259E-03 
              406.252E-03        273.607           -273.531             11.603E-03  
              407.504E-03        275.428           -275.351             11.6803E-03 
              408.755E-03        277.252           -277.175             11.7577E-03 
              410.007E-03        279.079           -279.002             11.8353E-03 
              411.259E-03        280.91            -280.833             11.913E-03  
              412.5E-03          282.729           -282.653             11.9903E-03 
              413.752E-03        284.565           -284.492             12.0683E-03 
              415.004E-03        286.405           -286.333             12.1465E-03 
              416.255E-03        288.248           -288.178             12.2248E-03 
              417.507E-03        290.094           -290.027             12.3032E-03 
              418.759E-03        291.943           -291.878             12.3817E-03 
              420.001E-03        293.781           -293.717             12.4598E-03 
              421.252E-03        295.637           -295.573             12.5386E-03 
              422.504E-03        297.496           -297.433             12.6176E-03 
              423.756E-03        299.358           -299.295             12.6966E-03 
              425.007E-03        301.224           -301.16              12.7758E-03 
              426.259E-03        303.092           -303.028             12.8552E-03 
              427.501E-03        304.948           -304.884             12.934E-03  
              428.752E-03        306.821           -306.758             13.0135E-03 
              430.004E-03        308.696           -308.635             13.0932E-03 
              431.256E-03        310.574           -310.515             13.173E-03  
              432.507E-03        312.455           -312.398             13.2529E-03 
              433.759E-03        314.338           -314.283             13.3328E-03 
              435.001E-03        316.209           -316.156             13.4123E-03 
              436.253E-03        318.097           -318.046             13.4925E-03 
              437.504E-03        319.988           -319.938             13.5729E-03 
              438.756E-03        321.882           -321.832             13.6533E-03 
              440.008E-03        323.778           -323.728             13.7338E-03 
              441.259E-03        325.677           -325.627             13.8145E-03 
              442.501E-03        327.563           -327.513             13.8945E-03 
              443.753E-03        329.466           -329.416             13.9753E-03 
              445.004E-03        331.371           -331.322             14.0562E-03 
              446.256E-03        333.278           -333.23              14.1373E-03 
              447.508E-03        335.186           -335.14              14.2183E-03 
              448.76E-03         337.097           -337.053             14.2995E-03 
              450.001E-03        338.994           -338.952             14.3801E-03 
              451.253E-03        340.908           -340.869             14.4614E-03 
              452.505E-03        342.825           -342.787             14.5429E-03 
              453.756E-03        344.743           -344.707             14.6244E-03 
              455.008E-03        346.664           -346.627             14.7059E-03 
              456.26E-03         348.586           -348.55              14.7876E-03 
              457.501E-03        350.495           -350.459             14.8686E-03 
              458.753E-03        352.421           -352.385             14.9504E-03 
              460.005E-03        354.349           -354.313             15.0323E-03 
              461.256E-03        356.278           -356.242             15.1142E-03 
              462.508E-03        358.208           -358.174             15.1962E-03 
              463.76E-03         360.139           -360.106             15.2782E-03 
              465.002E-03        362.056           -362.025             15.3597E-03 
              466.253E-03        363.989           -363.961             15.4419E-03 
              467.505E-03        365.924           -365.898             15.524E-03  
              468.757E-03        367.861           -367.837             15.6064E-03 
              470.008E-03        369.799           -369.776             15.6887E-03 
              471.25E-03         371.722           -371.7               15.7704E-03 
              472.502E-03        373.663           -373.641             15.8528E-03 
              473.753E-03        375.605           -375.583             15.9353E-03 
              475.005E-03        377.548           -377.526             16.0178E-03 
              476.257E-03        379.492           -379.47              16.1003E-03 
              477.509E-03        381.436           -381.415             16.1829E-03 
              478.75E-03         383.366           -383.345             16.2649E-03 
              480.002E-03        385.311           -385.292             16.3476E-03 
              481.254E-03        387.258           -387.241             16.4303E-03 
              482.505E-03        389.204           -389.19              16.513E-03  
              483.757E-03        391.152           -391.139             16.5958E-03 
              485.009E-03        393.1             -393.089             16.6786E-03 
              486.25E-03         395.034           -395.024             16.7607E-03 
              487.502E-03        396.983           -396.975             16.8435E-03 
              488.754E-03        398.934           -398.926             16.9264E-03 
              490.005E-03        400.885           -400.878             17.0093E-03 
              491.257E-03        402.837           -402.829             17.0922E-03 
              492.509E-03        404.789           -404.781             17.1751E-03 
              493.751E-03        406.725           -406.718             17.2573E-03 
              495.002E-03        408.677           -408.671             17.3402E-03 
              496.254E-03        410.629           -410.624             17.423E-03  
              497.506E-03        412.581           -412.578             17.506E-03  
              498.757E-03        414.533           -414.532             17.5889E-03 
              500.009E-03        416.485           -416.486             17.6718E-03 
              501.251E-03        418.421           -418.424             17.7542E-03 
              502.502E-03        420.374           -420.377             17.8371E-03 
              503.754E-03        422.326           -422.331             17.92E-03   
              505.006E-03        424.278           -424.284             18.0029E-03 
              506.258E-03        426.23            -426.236             18.0857E-03 
              507.509E-03        428.182           -428.189             18.1687E-03 
              508.751E-03        430.118           -430.125             18.2508E-03 
              510.003E-03        432.069           -432.077             18.3338E-03 
              511.254E-03        434.02            -434.028             18.4166E-03 
              512.506E-03        435.97            -435.979             18.4995E-03 
              513.758E-03        437.919           -437.93              18.5824E-03 
              515.009E-03        439.868           -439.88              18.6652E-03 
              516.251E-03        441.8             -441.814             18.7472E-03 
              517.503E-03        443.748           -443.764             18.83E-03   
              518.754E-03        445.694           -445.713             18.9128E-03 
              520.006E-03        447.64            -447.66              18.9954E-03 
              521.258E-03        449.586           -449.606             19.0781E-03 
              522.51E-03         451.531           -451.552             19.1607E-03 
              523.751E-03        453.46            -453.48              19.2428E-03 
              525.003E-03        455.403           -455.424             19.3254E-03 
              526.255E-03        457.346           -457.367             19.4078E-03 
              527.506E-03        459.287           -459.309             19.4902E-03 
              528.758E-03        461.226           -461.249             19.5726E-03 
              530.01E-03         463.165           -463.189             19.6551E-03 
              531.251E-03        465.086           -465.112             19.7368E-03 
              532.503E-03        467.022           -467.05              19.819E-03  
              533.755E-03        468.957           -468.987             19.9012E-03 
              535.007E-03        470.89            -470.922             19.9834E-03 
              536.258E-03        472.822           -472.856             20.0655E-03 
              537.51E-03         474.753           -474.788             20.1475E-03 
              538.752E-03        476.667           -476.702             20.2288E-03 
              540.003E-03        478.596           -478.63              20.3108E-03 
              541.255E-03        480.523           -480.558             20.3927E-03 
              542.507E-03        482.448           -482.483             20.4744E-03 
              543.758E-03        484.371           -484.407             20.5561E-03 
              545.E-03           486.277           -486.314             20.6372E-03 
              546.252E-03        488.197           -488.234             20.7187E-03 
              547.503E-03        490.114           -490.154             20.8002E-03 
              548.755E-03        492.029           -492.071             20.8817E-03 
              550.007E-03        493.943           -493.986             20.9629E-03 
              551.259E-03        495.855           -495.9               21.0442E-03 
              552.5E-03          497.75            -497.796             21.1248E-03 
              553.752E-03        499.657           -499.706             21.2058E-03 
              555.004E-03        501.563           -501.612             21.2868E-03 
              556.255E-03        503.468           -503.516             21.3678E-03 
              557.507E-03        505.37            -505.419             21.4485E-03 
              558.759E-03        507.27            -507.319             21.5293E-03 
              560.E-03           509.152           -509.202             21.6092E-03 
              561.252E-03        511.047           -511.097             21.6898E-03 
              562.504E-03        512.94            -512.991             21.7702E-03 
              563.755E-03        514.829           -514.882             21.8505E-03 
              565.007E-03        516.717           -516.771             21.9307E-03 
              566.259E-03        518.601           -518.658             22.0108E-03 
              567.501E-03        520.468           -520.527             22.0902E-03 
              568.752E-03        522.348           -522.409             22.1701E-03 
              570.004E-03        524.226           -524.287             22.2499E-03 
              571.256E-03        526.1             -526.162             22.3296E-03 
              572.507E-03        527.972           -528.035             22.4091E-03 
              573.759E-03        529.842           -529.904             22.4885E-03 
              575.001E-03        531.694           -531.756             22.5673E-03 
              576.252E-03        533.558           -533.62              22.6464E-03 
              577.504E-03        535.419           -535.482             22.7255E-03 
              578.756E-03        537.276           -537.34              22.8044E-03 
              580.008E-03        539.13            -539.196             22.8833E-03 
              581.259E-03        540.981           -541.049             22.962E-03  
              582.501E-03        542.814           -542.884             23.0398E-03 
              583.753E-03        544.659           -544.73              23.1183E-03 
              585.004E-03        546.501           -546.574             23.1966E-03 
              586.256E-03        548.34            -548.414             23.2748E-03 
              587.508E-03        550.175           -550.251             23.3528E-03 
              588.759E-03        552.008           -552.083             23.4306E-03 
              590.001E-03        553.822           -553.898             23.5078E-03 
              591.253E-03        555.648           -555.724             23.5853E-03 
              592.505E-03        557.471           -557.546             23.6628E-03 
              593.756E-03        559.29            -559.366             23.7401E-03 
              595.008E-03        561.105           -561.182             23.8172E-03 
              596.26E-03         562.916           -562.994             23.8942E-03 
              597.501E-03        564.709           -564.789             23.9704E-03 
              598.753E-03        566.512           -566.594             24.0471E-03 
              600.005E-03        568.312           -568.396             24.1236E-03 
              601.256E-03        570.108           -570.194             24.2E-03    
              602.508E-03        571.901           -571.988             24.2762E-03 
              603.76E-03         573.69            -573.778             24.3522E-03 
              605.001E-03        575.461           -575.549             24.4275E-03 
              606.253E-03        577.243           -577.331             24.5032E-03 
              607.505E-03        579.02            -579.108             24.5787E-03 
              608.757E-03        580.793           -580.882             24.6541E-03 
              610.008E-03        582.563           -582.652             24.7293E-03 
              611.26E-03         584.328           -584.417             24.8043E-03 
              612.502E-03        586.075           -586.165             24.8786E-03 
              613.753E-03        587.831           -587.923             24.9533E-03 
              615.005E-03        589.583           -589.677             25.0278E-03 
              616.257E-03        591.331           -591.426             25.102E-03  
              617.508E-03        593.074           -593.171             25.1762E-03 
              618.75E-03         594.8             -594.898             25.2495E-03 
              620.002E-03        596.535           -596.635             25.3233E-03 
              621.253E-03        598.266           -598.367             25.3968E-03 
              622.505E-03        599.993           -600.093             25.4703E-03 
              623.757E-03        601.715           -601.815             25.5434E-03 
              625.009E-03        603.432           -603.532             25.6164E-03 
              626.25E-03         605.132           -605.232             25.6887E-03 
              627.502E-03        606.84            -606.941             25.7613E-03 
              628.754E-03        608.543           -608.645             25.8337E-03 
              630.005E-03        610.242           -610.345             25.9059E-03 
              631.257E-03        611.935           -612.041             25.9779E-03 
              632.509E-03        613.624           -613.731             26.0497E-03 
              633.75E-03         615.294           -615.402             26.1207E-03 
              635.002E-03        616.973           -617.083             26.1922E-03 
              636.254E-03        618.648           -618.759             26.2633E-03 
              637.506E-03        620.318           -620.429             26.3343E-03 
              638.757E-03        621.983           -622.095             26.4051E-03 
              640.009E-03        623.643           -623.755             26.4757E-03 
              641.251E-03        625.285           -625.396             26.5454E-03 
              642.502E-03        626.934           -627.046             26.6156E-03 
              643.754E-03        628.579           -628.691             26.6855E-03 
              645.006E-03        630.218           -630.331             26.7551E-03 
              646.257E-03        631.852           -631.966             26.8246E-03 
              647.509E-03        633.481           -633.596             26.8939E-03 
