
                             RF1_forca_1e6_Pre  U1_forca_1e6_Puxa
                  X                ndeSet              Set       

              163.753E-03         40.3309            -1.67281E-03
              165.022E-03         41.4094            -1.71418E-03
              166.267E-03         42.4784            -1.75521E-03
              167.511E-03         43.5593            -1.7967E-03 
              168.755E-03         44.6518            -1.83866E-03
              170.025E-03         45.7786            -1.88195E-03
              171.269E-03         46.8943            -1.92483E-03
              172.513E-03         48.0212            -1.96816E-03
              173.757E-03         49.1592            -2.01194E-03
              175.001E-03         50.3081            -2.05615E-03
              176.271E-03         51.4915            -2.10172E-03
              177.515E-03         52.6621            -2.14682E-03
              178.759E-03         53.8432            -2.19235E-03
              180.003E-03         55.0349            -2.2383E-03 
              181.273E-03         56.2615            -2.28562E-03
              182.517E-03         57.474             -2.33241E-03
              183.761E-03         58.6967            -2.37962E-03
              185.006E-03         59.9294            -2.42724E-03
              186.275E-03         61.1974            -2.47626E-03
              187.519E-03         62.45              -2.5247E-03 
              188.764E-03         63.7121            -2.57355E-03
              190.008E-03         64.9837            -2.6228E-03 
              191.252E-03         66.2646            -2.67245E-03
              192.522E-03         67.5811            -2.72352E-03
              193.766E-03         68.8804            -2.77398E-03
              195.01E-03          70.1887            -2.82483E-03
              196.254E-03         71.5058            -2.87607E-03
              197.524E-03         72.8587            -2.92877E-03
              198.768E-03         74.1932            -2.98082E-03
              200.012E-03         75.5363            -3.03325E-03
              201.256E-03         76.8878            -3.08609E-03
              202.5E-03           78.2477            -3.13931E-03
              203.77E-03          79.6438            -3.19403E-03
              205.014E-03         81.0202            -3.24805E-03
              206.258E-03         82.4049            -3.30246E-03
              207.503E-03         83.7977            -3.35727E-03
              208.772E-03         85.2272            -3.4136E-03 
              210.016E-03         86.6363            -3.46921E-03
              211.261E-03         88.0534            -3.52521E-03
              212.505E-03         89.4785            -3.5816E-03 
              213.774E-03         90.9411            -3.63956E-03
              215.018E-03         92.3827            -3.69676E-03
              216.263E-03         93.8324            -3.75437E-03
              217.507E-03         95.2906            -3.81237E-03
              218.751E-03         96.7572            -3.87078E-03
              220.021E-03         98.2628            -3.93081E-03
              221.265E-03         99.7471            -3.99004E-03
              222.509E-03        101.241             -4.04969E-03
              223.753E-03        102.743             -4.10975E-03
              225.023E-03        104.287             -4.17146E-03
              226.267E-03        105.809             -4.23237E-03
              227.511E-03        107.341             -4.2937E-03 
              228.755E-03        108.884             -4.35545E-03
              230.025E-03        110.468             -4.41891E-03
              231.269E-03        112.032             -4.48154E-03
              232.513E-03        113.607             -4.5446E-03 
              233.757E-03        115.193             -4.6081E-03 
              235.002E-03        116.79              -4.67204E-03
              236.271E-03        118.432             -4.73775E-03
              237.515E-03        120.053             -4.8026E-03 
              238.76E-03         121.686             -4.8679E-03 
              240.004E-03        123.33              -4.93366E-03
              241.273E-03        125.021             -5.00125E-03
              242.518E-03        126.69              -5.06795E-03
              243.762E-03        128.372             -5.13512E-03
              245.006E-03        130.066             -5.20278E-03
              246.25E-03         131.773             -5.27091E-03
              247.52E-03         133.527             -5.34094E-03
              248.764E-03        135.259             -5.41006E-03
              250.008E-03        137.005             -5.47968E-03
              251.252E-03        138.763             -5.5498E-03 
              252.522E-03        140.57              -5.62187E-03
              253.766E-03        142.355             -5.69302E-03
              255.01E-03         144.154             -5.76468E-03
              256.254E-03        145.966             -5.83686E-03
              257.524E-03        147.829             -5.91105E-03
              258.768E-03        149.669             -5.9843E-03 
              260.012E-03        151.523             -6.05807E-03
              261.257E-03        153.391             -6.13238E-03
              262.501E-03        155.274             -6.20723E-03
              263.77E-03         157.21              -6.28418E-03
              265.014E-03        159.122             -6.36013E-03
              266.259E-03        161.049             -6.43664E-03
              267.503E-03        162.991             -6.5137E-03 
              268.772E-03        164.987             -6.59291E-03
              270.017E-03        166.959             -6.6711E-03 
              271.261E-03        168.946             -6.74985E-03
              272.505E-03        170.949             -6.82915E-03
              273.775E-03        173.008             -6.91066E-03
              275.019E-03        175.041             -6.99111E-03
              276.263E-03        177.09              -7.07211E-03
              277.507E-03        179.154             -7.15369E-03
              278.751E-03        181.234             -7.23582E-03
              280.021E-03        183.373             -7.32023E-03
              281.265E-03        185.484             -7.4035E-03 
              282.509E-03        187.612             -7.48734E-03
              283.753E-03        189.756             -7.57175E-03
              285.023E-03        191.96              -7.65845E-03
              286.267E-03        194.136             -7.74399E-03
              287.511E-03        196.329             -7.83009E-03
              288.756E-03        198.537             -7.91673E-03
              290.025E-03        200.808             -8.00572E-03
              291.269E-03        203.049             -8.0935E-03 
              292.514E-03        205.307             -8.18182E-03
              293.758E-03        207.581             -8.27069E-03
              295.002E-03        209.871             -8.36011E-03
              296.272E-03        212.224             -8.45191E-03
              297.516E-03        214.547             -8.54243E-03
              298.76E-03         216.885             -8.63348E-03
              300.004E-03        219.239             -8.72507E-03
              301.274E-03        221.656             -8.81907E-03
              302.518E-03        224.041             -8.91172E-03
              303.762E-03        226.441             -9.00491E-03
              305.006E-03        228.856             -9.0986E-03 
              306.25E-03         231.286             -9.19282E-03
              307.52E-03         233.78              -9.28948E-03
              308.764E-03        236.239             -9.38472E-03
              310.008E-03        238.711             -9.48046E-03
              311.253E-03        241.197             -9.57668E-03
              312.522E-03        243.748             -9.67539E-03
              313.766E-03        246.261             -9.77261E-03
              315.011E-03        248.787             -9.87031E-03
              316.255E-03        251.325             -9.96846E-03
              317.524E-03        253.927            -10.0691E-03 
              318.768E-03        256.49             -10.1682E-03 
              320.013E-03        259.063            -10.2678E-03 
              321.257E-03        261.648            -10.3678E-03 
              322.501E-03        264.244            -10.4682E-03 
              323.771E-03        266.904            -10.5711E-03 
              325.015E-03        269.522            -10.6725E-03 
              326.259E-03        272.15             -10.7742E-03 
              327.503E-03        274.788            -10.8763E-03 
              328.773E-03        277.49             -10.981E-03  
              330.017E-03        280.149            -11.0839E-03 
              331.261E-03        282.817            -11.1873E-03 
              332.505E-03        285.495            -11.291E-03  
              333.775E-03        288.237            -11.3972E-03 
              335.019E-03        290.933            -11.5017E-03 
              336.263E-03        293.638            -11.6065E-03 
              337.507E-03        296.352            -11.7117E-03 
              338.752E-03        299.075            -11.8172E-03 
              340.021E-03        301.862            -11.9253E-03 
              341.265E-03        304.601            -12.0314E-03 
              342.51E-03         307.348            -12.138E-03  
              343.754E-03        310.103            -12.2448E-03 
              345.023E-03        312.922            -12.3541E-03 
              346.268E-03        315.691            -12.4616E-03 
              347.512E-03        318.468            -12.5693E-03 
              348.756E-03        321.251            -12.6773E-03 
              350.E-03           324.041            -12.7856E-03 
              351.27E-03         326.894            -12.8964E-03 
              352.514E-03        329.697            -13.0052E-03 
              353.758E-03        332.505            -13.1143E-03 
              355.002E-03        335.318            -13.2237E-03 
              356.272E-03        338.195            -13.3355E-03 
              357.516E-03        341.02             -13.4454E-03 
              358.76E-03         343.85             -13.5555E-03 
              360.004E-03        346.685            -13.6658E-03 
              361.274E-03        349.582            -13.7786E-03 
              362.518E-03        352.426            -13.8894E-03 
              363.762E-03        355.276            -14.0004E-03 
              365.007E-03        358.129            -14.1117E-03 
              366.251E-03        360.986            -14.2231E-03 
              367.52E-03         363.906            -14.3371E-03 
              368.764E-03        366.771            -14.449E-03  
              370.009E-03        369.64             -14.561E-03  
              371.253E-03        372.512            -14.6733E-03 
              372.522E-03        375.447            -14.7882E-03 
              373.767E-03        378.326            -14.9009E-03 
              375.011E-03        381.208            -15.0138E-03 
              376.255E-03        384.093            -15.1269E-03 
              377.525E-03        387.041            -15.2425E-03 
              378.769E-03        389.931            -15.356E-03  
              380.013E-03        392.826            -15.4697E-03 
              381.257E-03        395.722            -15.5836E-03 
              382.501E-03        398.622            -15.6977E-03 
              383.771E-03        401.583            -15.8143E-03 
              385.015E-03        404.489            -15.9288E-03 
              386.259E-03        407.397            -16.0435E-03 
              387.503E-03        410.308            -16.1583E-03 
              388.773E-03        413.283            -16.2757E-03 
              390.017E-03        416.201            -16.3909E-03 
              391.261E-03        419.123            -16.5063E-03 
              392.506E-03        422.047            -16.6219E-03 
              393.775E-03        425.036            -16.7401E-03 
              395.019E-03        427.969            -16.8561E-03 
              396.264E-03        430.906            -16.9722E-03 
              397.508E-03        433.846            -17.0886E-03 
              398.752E-03        436.792            -17.2051E-03 
              400.022E-03        439.802            -17.3243E-03 
              401.266E-03        442.757            -17.4412E-03 
              402.51E-03         445.716            -17.5583E-03 
              403.754E-03        448.681            -17.6757E-03 
              405.024E-03        451.711            -17.7956E-03 
              406.268E-03        454.686            -17.9134E-03 
              407.512E-03        457.667            -18.0313E-03 
              408.756E-03        460.654            -18.1495E-03 
              410.E-03           463.646            -18.2678E-03 
              411.27E-03         466.706            -18.3888E-03 
              412.514E-03        469.709            -18.5076E-03 
              413.758E-03        472.719            -18.6266E-03 
              415.003E-03        475.735            -18.7458E-03 
              416.272E-03        478.819            -18.8677E-03 
              417.516E-03        481.847            -18.9873E-03 
              418.76E-03         484.881            -19.1072E-03 
              420.005E-03        487.922            -19.2273E-03 
              421.274E-03        491.03             -19.3501E-03 
              422.518E-03        494.083            -19.4707E-03 
              423.763E-03        497.142            -19.5915E-03 
              425.007E-03        500.207            -19.7126E-03 
              426.251E-03        503.279            -19.8339E-03 
              427.521E-03        506.42             -19.9579E-03 
              428.765E-03        509.504            -20.0796E-03 
              430.009E-03        512.596            -20.2017E-03 
              431.253E-03        515.694            -20.3239E-03 
              432.523E-03        518.863            -20.4489E-03 
              433.767E-03        521.975            -20.5717E-03 
              435.011E-03        525.094            -20.6947E-03 
              436.255E-03        528.221            -20.818E-03  
              437.525E-03        531.418            -20.9441E-03 
              438.769E-03        534.559            -21.0678E-03 
              440.013E-03        537.708            -21.1919E-03 
              441.257E-03        540.864            -21.3161E-03 
              442.502E-03        544.027            -21.4407E-03 
              443.771E-03        547.263            -21.568E-03  
              445.015E-03        550.441            -21.693E-03  
              446.26E-03         553.627            -21.8183E-03 
              447.504E-03        556.821            -21.9438E-03 
              448.773E-03        560.087            -22.0721E-03 
              450.018E-03        563.296            -22.1981E-03 
              451.262E-03        566.512            -22.3243E-03 
              452.506E-03        569.735            -22.4508E-03 
              453.75E-03         572.967            -22.5775E-03 
              455.02E-03         576.271            -22.707E-03  
              456.264E-03        579.518            -22.8341E-03 
              457.508E-03        582.771            -22.9614E-03 
              458.752E-03        586.033            -23.089E-03  
              460.022E-03        589.368            -23.2194E-03 
              461.266E-03        592.644            -23.3474E-03 
              462.51E-03         595.927            -23.4756E-03 
              463.754E-03        599.217            -23.604E-03  
              465.024E-03        602.581            -23.7352E-03 
              466.268E-03        605.886            -23.864E-03  
              467.512E-03        609.196            -23.9929E-03 
              468.757E-03        612.514            -24.122E-03  
              470.001E-03        615.837            -24.2513E-03 
              471.27E-03         619.235            -24.3834E-03 
              472.514E-03        622.57             -24.5131E-03 
              473.759E-03        625.911            -24.6429E-03 
              475.003E-03        629.258            -24.7728E-03 
              476.272E-03        632.678            -24.9056E-03 
