
                             RF1_forca_1e6_rsd  U1_forca_1e6_rsd_                                      
                  X           _meio_PrendeSet      meio_PuxaSet         forca ie           forca ke    
              110.024E-03         57.4188            -2.87643E-03      109.142E-03         64.5001E-03 
              111.268E-03         60.36              -2.99498E-03            NoValue            NoValue
              112.513E-03         63.3906            -3.11651E-03            NoValue            NoValue
              113.757E-03         66.5116            -3.24102E-03            NoValue            NoValue
              115.001E-03         69.7233            -3.3685E-03       148.32E-03          79.5243E-03 
              116.271E-03         73.0947            -3.50165E-03            NoValue            NoValue
              117.515E-03         76.4914            -3.63513E-03            NoValue            NoValue
              118.759E-03         79.9803            -3.77158E-03            NoValue            NoValue
              120.003E-03         83.5616            -3.91097E-03      198.527E-03         96.1684E-03 
              121.273E-03         87.3114            -4.05625E-03            NoValue            NoValue
              122.517E-03         91.08              -4.20157E-03            NoValue            NoValue
              123.761E-03         94.9412            -4.34981E-03            NoValue            NoValue
              125.005E-03         98.895             -4.50095E-03      261.519E-03        114.088E-03  
              126.275E-03        103.025             -4.65813E-03            NoValue            NoValue
              127.519E-03        107.164             -4.81505E-03            NoValue            NoValue
              128.763E-03        111.395             -4.9748E-03             NoValue            NoValue
              130.007E-03        115.716             -5.13736E-03      339.309E-03        132.935E-03  
              131.252E-03        120.125             -5.30269E-03            NoValue            NoValue
              132.521E-03        124.716             -5.47423E-03            NoValue            NoValue
              133.765E-03        129.301             -5.64508E-03            NoValue            NoValue
              135.01E-03         133.97              -5.81862E-03      433.936E-03        152.297E-03  
              136.254E-03        138.721             -5.9948E-03             NoValue            NoValue
              137.523E-03        143.65              -6.17728E-03            NoValue            NoValue
              138.768E-03        148.56              -6.35872E-03            NoValue            NoValue
              140.012E-03        153.544             -6.5427E-03       547.426E-03        171.724E-03  
              141.256E-03        158.601             -6.72917E-03            NoValue            NoValue
              142.5E-03          163.728             -6.91811E-03            NoValue            NoValue
              143.77E-03         169.029             -7.1134E-03             NoValue            NoValue
              145.014E-03        174.289             -7.30719E-03      681.729E-03        190.748E-03  
              146.258E-03        179.612             -7.50329E-03            NoValue            NoValue
              147.502E-03        184.995             -7.70167E-03            NoValue            NoValue
              148.772E-03        190.548             -7.9064E-03             NoValue            NoValue
              150.016E-03        196.046             -8.10924E-03      838.645E-03        208.909E-03  
              151.26E-03         201.598             -8.3142E-03             NoValue            NoValue
              152.504E-03        207.203             -8.52124E-03            NoValue            NoValue
              153.774E-03        212.973             -8.73457E-03            NoValue            NoValue
              155.018E-03        218.678             -8.94563E-03        1.01976          225.784E-03  
              156.262E-03        224.43              -9.15859E-03            NoValue            NoValue
              157.507E-03        230.228             -9.37341E-03            NoValue            NoValue
              158.751E-03        236.071             -9.59001E-03            NoValue            NoValue
              160.02E-03         242.077             -9.81283E-03        1.22642          241.011E-03  
              161.265E-03        248.004            -10.0329E-03             NoValue            NoValue
              162.509E-03        253.972            -10.2545E-03             NoValue            NoValue
              163.753E-03        259.977            -10.4778E-03             NoValue            NoValue
              165.022E-03        266.143            -10.7071E-03         1.45962          254.307E-03  
              166.267E-03        272.219            -10.9332E-03             NoValue            NoValue
              167.511E-03        278.328            -11.1607E-03             NoValue            NoValue
              168.755E-03        284.467            -11.3896E-03             NoValue            NoValue
              170.025E-03        290.76             -11.6243E-03         1.72003          265.487E-03  
              171.269E-03        296.955            -11.8556E-03             NoValue            NoValue
              172.513E-03        303.173            -12.0879E-03             NoValue            NoValue
              173.757E-03        309.414            -12.3213E-03             NoValue            NoValue
              175.001E-03        315.676            -12.5557E-03         2.00642          274.432E-03  
              176.271E-03        322.087            -12.7958E-03             NoValue            NoValue
              177.515E-03        328.386            -13.032E-03              NoValue            NoValue
              178.759E-03        334.703            -13.269E-03              NoValue            NoValue
              180.003E-03        341.034            -13.5068E-03         2.32172          281.265E-03  
              181.273E-03        347.509            -13.7502E-03             NoValue            NoValue
              182.517E-03        353.866            -13.9894E-03             NoValue            NoValue
              183.761E-03        360.235            -14.2291E-03             NoValue            NoValue
              185.006E-03        366.613            -14.4695E-03         2.66431          286.065E-03  
              186.275E-03        373.13             -14.7153E-03             NoValue            NoValue
              187.519E-03        379.522            -14.9566E-03             NoValue            NoValue
              188.764E-03        385.919            -15.1984E-03             NoValue            NoValue
              190.008E-03        392.318            -15.4407E-03         3.03386          289.045E-03  
              191.252E-03        398.719            -15.6833E-03             NoValue            NoValue
              192.522E-03        405.25             -15.9312E-03             NoValue            NoValue
              193.766E-03        411.648            -16.1744E-03             NoValue            NoValue
              195.01E-03         418.044            -16.418E-03          3.43             290.48E-03   
              196.254E-03        424.434            -16.6618E-03             NoValue            NoValue
              197.524E-03        430.949            -16.9108E-03             NoValue            NoValue
              198.768E-03        437.326            -17.1551E-03             NoValue            NoValue
              200.012E-03        443.696            -17.3996E-03         3.85234          290.683E-03  
              201.256E-03        450.055            -17.6442E-03             NoValue            NoValue
              202.5E-03          456.405            -17.889E-03              NoValue            NoValue
              203.77E-03         462.872            -18.1389E-03             NoValue            NoValue
              205.014E-03        469.198            -18.3839E-03         4.30047          289.981E-03  
              206.258E-03        475.511            -18.629E-03              NoValue            NoValue
              207.503E-03        481.81             -18.8742E-03             NoValue            NoValue
              208.772E-03        488.223            -19.1245E-03             NoValue            NoValue
              210.016E-03        494.492            -19.3698E-03         4.77398          288.707E-03  
              211.261E-03        500.746            -19.6151E-03             NoValue            NoValue
              212.505E-03        506.984            -19.8604E-03             NoValue            NoValue
              213.774E-03        513.333            -20.1108E-03             NoValue            NoValue
              215.018E-03        519.54             -20.3562E-03         5.27249          287.181E-03  
              216.263E-03        525.732            -20.6015E-03             NoValue            NoValue
              217.507E-03        531.908            -20.8469E-03             NoValue            NoValue
              218.751E-03        538.071            -21.0923E-03             NoValue            NoValue
              220.021E-03        544.346            -21.3427E-03         5.79578          285.696E-03  
              221.265E-03        550.485            -21.588E-03              NoValue            NoValue
              222.509E-03        556.612            -21.8334E-03             NoValue            NoValue
              223.753E-03        562.731            -22.0787E-03             NoValue            NoValue
              225.023E-03        568.967            -22.3291E-03         6.34378          284.516E-03  
              226.267E-03        575.072            -22.5744E-03             NoValue            NoValue
              227.511E-03        581.173            -22.8198E-03             NoValue            NoValue
              228.755E-03        587.27             -23.0652E-03             NoValue            NoValue
              230.025E-03        593.49             -23.3156E-03         6.91659          283.859E-03  
              231.269E-03        599.585            -23.561E-03              NoValue            NoValue
              232.513E-03        605.681            -23.8065E-03             NoValue            NoValue
              233.757E-03        611.78             -24.0521E-03             NoValue            NoValue
              235.002E-03        617.882            -24.2976E-03         7.51136          283.898E-03  
              236.271E-03        624.113            -24.5483E-03             NoValue            NoValue
              237.515E-03        630.224            -24.794E-03              NoValue            NoValue
              238.76E-03         636.341            -25.0399E-03             NoValue            NoValue
              240.004E-03        642.465            -25.2858E-03         8.13461          284.755E-03  
              241.273E-03        648.72             -25.5369E-03             NoValue            NoValue
              242.518E-03        654.858            -25.7831E-03             NoValue            NoValue
              243.762E-03        661.005            -26.0294E-03             NoValue            NoValue
              245.006E-03        667.159            -26.276E-03          8.78405          286.501E-03  
              246.25E-03         673.322            -26.5227E-03             NoValue            NoValue
              247.52E-03         679.619            -26.7747E-03             NoValue            NoValue
              248.764E-03        685.799            -27.0218E-03             NoValue            NoValue
              250.008E-03        691.988            -27.2692E-03         9.46057          289.143E-03  
              251.252E-03        698.187            -27.5169E-03             NoValue            NoValue
              252.522E-03        704.523            -27.7699E-03             NoValue            NoValue
              253.766E-03        710.742            -28.0182E-03             NoValue            NoValue
              255.01E-03         716.974            -28.2667E-03        10.1652           292.623E-03  
              256.254E-03        723.217            -28.5156E-03             NoValue            NoValue
              257.524E-03        729.601            -28.7699E-03             NoValue            NoValue
              258.768E-03        735.871            -29.0195E-03             NoValue            NoValue
              260.012E-03        742.155            -29.2694E-03        10.899            296.816E-03  
              261.257E-03        748.456            -29.5197E-03             NoValue            NoValue
              262.501E-03        754.77             -29.7704E-03             NoValue            NoValue
              263.77E-03         761.231            -30.0266E-03             NoValue            NoValue
              265.014E-03        767.579            -30.2781E-03        11.663            301.527E-03  
              266.259E-03        773.943            -30.53E-03               NoValue            NoValue
              267.503E-03        780.323            -30.7823E-03             NoValue            NoValue
              268.772E-03        786.851            -31.0401E-03             NoValue            NoValue
              270.017E-03        793.265            -31.2932E-03        12.458            306.5E-03    
              271.261E-03        799.697            -31.5467E-03             NoValue            NoValue
              272.505E-03        806.145            -31.8006E-03             NoValue            NoValue
              273.775E-03        812.743            -32.06E-03               NoValue            NoValue
              275.019E-03        819.225            -32.3145E-03        13.2842           311.427E-03  
              276.263E-03        825.726            -32.5694E-03             NoValue            NoValue
              277.507E-03        832.243            -32.8246E-03             NoValue            NoValue
              278.751E-03        838.778            -33.0801E-03             NoValue            NoValue
              280.021E-03        845.464            -33.341E-03         14.1414           315.961E-03  
              281.265E-03        852.034            -33.597E-03              NoValue            NoValue
              282.509E-03        858.622            -33.8532E-03             NoValue            NoValue
              283.753E-03        865.228            -34.1096E-03             NoValue            NoValue
              285.023E-03        871.987            -34.3714E-03        15.0287           319.738E-03  
              286.267E-03        878.629            -34.628E-03              NoValue            NoValue
              287.511E-03        885.288            -34.8848E-03             NoValue            NoValue
              288.756E-03        891.964            -35.1416E-03             NoValue            NoValue
              290.025E-03        898.794            -35.4037E-03        15.9448           322.388E-03  
              291.269E-03        905.503            -35.6606E-03             NoValue            NoValue
              292.514E-03        912.228            -35.9174E-03             NoValue            NoValue
              293.758E-03        918.966            -36.1741E-03             NoValue            NoValue
              295.002E-03        925.718            -36.4307E-03        16.883            323.547E-03  
              296.272E-03        932.618            -36.6924E-03             NoValue            NoValue
              297.516E-03        939.392            -36.9487E-03             NoValue            NoValue
              298.76E-03         946.173            -37.2048E-03             NoValue            NoValue
              300.004E-03        952.962            -37.4605E-03        17.8508           322.891E-03  
              301.274E-03        959.894            -37.7211E-03             NoValue            NoValue
              302.518E-03        966.692            -37.9762E-03             NoValue            NoValue
              303.762E-03        973.491            -38.2309E-03             NoValue            NoValue
              305.006E-03        980.288            -38.485E-03         18.8403           320.119E-03  
              306.25E-03         987.083            -38.7387E-03             NoValue            NoValue
              307.52E-03         994.011            -38.9969E-03             NoValue            NoValue
              308.764E-03          1.00079E+03      -39.2494E-03             NoValue            NoValue
              310.008E-03          1.00756E+03      -39.5012E-03        19.8483           315.E-03     
              311.253E-03          1.01432E+03      -39.7522E-03             NoValue            NoValue
              312.522E-03          1.0212E+03       -40.0076E-03             NoValue            NoValue
              313.766E-03          1.02792E+03      -40.257E-03              NoValue            NoValue
              315.011E-03          1.03462E+03      -40.5055E-03        20.8703           307.387E-03  
              316.255E-03          1.0413E+03       -40.7531E-03             NoValue            NoValue
              317.524E-03          1.04808E+03      -41.0046E-03             NoValue            NoValue
              318.768E-03          1.0547E+03       -41.2501E-03             NoValue            NoValue
              320.013E-03          1.06128E+03      -41.4944E-03        21.9018           297.229E-03  
              321.257E-03          1.06784E+03      -41.7375E-03             NoValue            NoValue
              322.501E-03          1.07435E+03      -41.9794E-03             NoValue            NoValue
              323.771E-03          1.08095E+03      -42.2249E-03             NoValue            NoValue
              325.015E-03          1.08739E+03      -42.464E-03         22.9374           284.582E-03  
              326.259E-03          1.09378E+03      -42.7017E-03             NoValue            NoValue
              327.503E-03          1.10013E+03      -42.938E-03              NoValue            NoValue
              328.773E-03          1.10656E+03      -43.1774E-03             NoValue            NoValue
              330.017E-03          1.11281E+03      -43.4104E-03        23.9713           269.607E-03  
              331.261E-03          1.11902E+03      -43.6418E-03             NoValue            NoValue
              332.505E-03          1.12518E+03      -43.8713E-03             NoValue            NoValue
              333.775E-03          1.13141E+03      -44.1037E-03             NoValue            NoValue
              335.019E-03          1.13746E+03      -44.3296E-03        24.9973           252.571E-03  
              336.263E-03          1.14346E+03      -44.5535E-03             NoValue            NoValue
              337.507E-03          1.1494E+03       -44.7754E-03             NoValue            NoValue
              338.752E-03          1.15529E+03      -44.9953E-03             NoValue            NoValue
              340.021E-03          1.16123E+03      -45.2175E-03        26.0087           233.836E-03  
              341.265E-03          1.167E+03        -45.433E-03              NoValue            NoValue
              342.51E-03           1.1727E+03       -45.6463E-03             NoValue            NoValue
              343.754E-03          1.17834E+03      -45.8572E-03             NoValue            NoValue
              345.023E-03          1.18403E+03      -46.0702E-03        26.999            213.841E-03  
              346.268E-03          1.18953E+03      -46.2764E-03             NoValue            NoValue
              347.512E-03          1.19497E+03      -46.4801E-03             NoValue            NoValue
              348.756E-03          1.20033E+03      -46.6815E-03             NoValue            NoValue
              350.E-03             1.20562E+03      -46.8802E-03        27.9569           193.183E-03  
              351.27E-03           1.21095E+03      -47.0804E-03             NoValue            NoValue
              352.514E-03          1.21609E+03      -47.274E-03              NoValue            NoValue
              353.758E-03          1.22115E+03      -47.4648E-03             NoValue            NoValue
              355.002E-03          1.22614E+03      -47.6531E-03        28.8863           172.161E-03  
              356.272E-03          1.23115E+03      -47.8424E-03             NoValue            NoValue
              357.516E-03          1.23597E+03      -48.0251E-03             NoValue            NoValue
              358.76E-03           1.24071E+03      -48.2051E-03             NoValue            NoValue
              360.004E-03          1.24537E+03      -48.3822E-03        29.7769           151.378E-03  
              361.274E-03          1.25005E+03      -48.5601E-03             NoValue            NoValue
              362.518E-03          1.25454E+03      -48.7316E-03             NoValue            NoValue
              363.762E-03          1.25895E+03      -48.9003E-03             NoValue            NoValue
              365.007E-03          1.26327E+03      -49.0662E-03        30.6246           131.296E-03  
              366.251E-03          1.2675E+03       -49.2291E-03             NoValue            NoValue
              367.52E-03           1.27174E+03      -49.3925E-03             NoValue            NoValue
              368.764E-03          1.2758E+03       -49.5496E-03             NoValue            NoValue
              370.009E-03          1.27977E+03      -49.704E-03         31.4257           112.31E-03   
              371.253E-03          1.28365E+03      -49.8555E-03             NoValue            NoValue
              372.522E-03          1.28752E+03      -50.0071E-03             NoValue            NoValue
              373.767E-03          1.29122E+03      -50.1527E-03             NoValue            NoValue
              375.011E-03          1.29482E+03      -50.2955E-03        32.1778            94.7363E-03 
              376.255E-03          1.29834E+03      -50.4354E-03             NoValue            NoValue
              377.525E-03          1.30184E+03      -50.5753E-03             NoValue            NoValue
              378.769E-03          1.30517E+03      -50.7094E-03             NoValue            NoValue
              380.013E-03          1.30841E+03      -50.8408E-03        32.8788            78.7999E-03 
              381.257E-03          1.31156E+03      -50.9693E-03             NoValue            NoValue
              382.501E-03          1.31463E+03      -51.0949E-03             NoValue            NoValue
              383.771E-03          1.31766E+03      -51.2202E-03             NoValue            NoValue
              385.015E-03          1.32054E+03      -51.3402E-03        33.5274            64.6385E-03 
              386.259E-03          1.32334E+03      -51.4574E-03             NoValue            NoValue
              387.503E-03          1.32606E+03      -51.5719E-03             NoValue            NoValue
              388.773E-03          1.32874E+03      -51.6858E-03             NoValue            NoValue
              390.017E-03          1.33129E+03      -51.7947E-03        34.1231            52.3051E-03 
              391.261E-03          1.33376E+03      -51.901E-03              NoValue            NoValue
              392.506E-03          1.33615E+03      -52.0046E-03             NoValue            NoValue
              393.775E-03          1.33851E+03      -52.1076E-03             NoValue            NoValue
              395.019E-03          1.34075E+03      -52.2059E-03        34.6663            41.776E-03  
              396.264E-03          1.34291E+03      -52.3016E-03             NoValue            NoValue
              397.508E-03          1.34501E+03      -52.3948E-03             NoValue            NoValue
              398.752E-03          1.34703E+03      -52.4855E-03             NoValue            NoValue
              400.022E-03          1.34904E+03      -52.5755E-03        35.1582            32.963E-03  
              401.266E-03          1.35093E+03      -52.6613E-03             NoValue            NoValue
              402.51E-03           1.35277E+03      -52.7446E-03             NoValue            NoValue
              403.754E-03          1.35454E+03      -52.8257E-03             NoValue            NoValue
              405.024E-03          1.35629E+03      -52.9059E-03        35.6009            25.7287E-03 
              406.268E-03          1.35795E+03      -52.9824E-03             NoValue            NoValue
              407.512E-03          1.35955E+03      -53.0565E-03             NoValue            NoValue
              408.756E-03          1.3611E+03       -53.1285E-03             NoValue            NoValue
              410.E-03             1.36261E+03      -53.1984E-03        35.9949            19.9284E-03 
              411.27E-03           1.36408E+03      -53.2675E-03             NoValue            NoValue
              412.514E-03          1.36548E+03      -53.3332E-03             NoValue            NoValue
              413.758E-03          1.36683E+03      -53.3969E-03             NoValue            NoValue
              415.003E-03          1.36814E+03      -53.4586E-03        36.3474            15.3144E-03 
              416.272E-03          1.36942E+03      -53.5197E-03             NoValue            NoValue
              417.516E-03          1.37064E+03      -53.5777E-03             NoValue            NoValue
              418.76E-03           1.37181E+03      -53.6339E-03             NoValue            NoValue
              420.005E-03          1.37294E+03      -53.6883E-03        36.6598            11.7261E-03 
              421.274E-03          1.37404E+03      -53.7421E-03             NoValue            NoValue
              422.518E-03          1.37509E+03      -53.7931E-03             NoValue            NoValue
              423.763E-03          1.37609E+03      -53.8426E-03             NoValue            NoValue
              425.007E-03          1.37706E+03      -53.8906E-03        36.9361             8.97669E-03
              426.251E-03          1.37799E+03      -53.937E-03              NoValue            NoValue
              427.521E-03          1.3789E+03       -53.9829E-03             NoValue            NoValue
              428.765E-03          1.37977E+03      -54.0265E-03             NoValue            NoValue
              430.009E-03          1.38059E+03      -54.0687E-03        37.1803             6.89441E-03
              431.253E-03          1.38139E+03      -54.1096E-03             NoValue            NoValue
              432.523E-03          1.38218E+03      -54.1501E-03             NoValue            NoValue
              433.767E-03          1.38292E+03      -54.1885E-03             NoValue            NoValue
              435.011E-03          1.38364E+03      -54.2257E-03        37.3962             5.32837E-03
              436.255E-03          1.38433E+03      -54.2619E-03             NoValue            NoValue
              437.525E-03          1.38501E+03      -54.2976E-03             NoValue            NoValue
              438.769E-03          1.38566E+03      -54.3315E-03             NoValue            NoValue
              440.013E-03          1.38629E+03      -54.3643E-03        37.5873             4.15174E-03
              441.257E-03          1.3869E+03       -54.3963E-03             NoValue            NoValue
              442.502E-03          1.3875E+03       -54.4271E-03             NoValue            NoValue
              443.771E-03          1.38808E+03      -54.4577E-03             NoValue            NoValue
              445.015E-03          1.38865E+03      -54.4867E-03        37.7564             3.26234E-03
              446.26E-03           1.38919E+03      -54.5148E-03             NoValue            NoValue
              447.504E-03          1.38972E+03      -54.542E-03              NoValue            NoValue
              448.773E-03          1.39025E+03      -54.569E-03              NoValue            NoValue
              450.018E-03          1.39076E+03      -54.5945E-03        37.9057             2.58093E-03
              451.262E-03          1.39125E+03      -54.6192E-03             NoValue            NoValue
              452.506E-03          1.39174E+03      -54.6431E-03             NoValue            NoValue
              453.75E-03           1.39222E+03      -54.6662E-03             NoValue            NoValue
              455.02E-03           1.3927E+03       -54.689E-03         38.0369             2.04811E-03
              456.264E-03          1.39316E+03      -54.7106E-03             NoValue            NoValue
              457.508E-03          1.39361E+03      -54.7314E-03             NoValue            NoValue
              458.752E-03          1.39406E+03      -54.7515E-03             NoValue            NoValue
              460.022E-03          1.39451E+03      -54.7713E-03        38.1513             1.62042E-03
              461.266E-03          1.39495E+03      -54.79E-03               NoValue            NoValue
              462.51E-03           1.39539E+03      -54.808E-03              NoValue            NoValue
              463.754E-03          1.39582E+03      -54.8253E-03             NoValue            NoValue
              465.024E-03          1.39625E+03      -54.8422E-03        38.25               1.2666E-03 
              466.268E-03          1.39667E+03      -54.8582E-03             NoValue            NoValue
              467.512E-03          1.39709E+03      -54.8735E-03             NoValue            NoValue
              468.757E-03          1.3975E+03       -54.8882E-03             NoValue            NoValue
              470.001E-03          1.39791E+03      -54.9023E-03        38.3337           966.443E-06  
              471.27E-03           1.39832E+03      -54.916E-03              NoValue            NoValue
              472.514E-03          1.39871E+03      -54.9288E-03             NoValue            NoValue
              473.759E-03          1.3991E+03       -54.941E-03              NoValue            NoValue
              475.003E-03          1.39948E+03      -54.9527E-03        38.4039           703.616E-06  
              476.272E-03          1.39986E+03      -54.9639E-03             NoValue            NoValue
              477.517E-03          1.40021E+03      -54.9744E-03             NoValue            NoValue
              478.761E-03          1.40056E+03      -54.9842E-03             NoValue            NoValue
              480.005E-03          1.40089E+03      -54.9935E-03        38.4609           474.418E-06  
              481.275E-03          1.40122E+03      -55.0024E-03             NoValue            NoValue
              482.519E-03          1.40152E+03      -55.0105E-03             NoValue            NoValue
              483.763E-03          1.40181E+03      -55.018E-03              NoValue            NoValue
              485.007E-03          1.40207E+03      -55.025E-03         38.5049           280.87E-06   
              486.251E-03          1.40232E+03      -55.0314E-03             NoValue            NoValue
              487.521E-03          1.40255E+03      -55.0373E-03             NoValue            NoValue
              488.765E-03          1.40276E+03      -55.0425E-03             NoValue            NoValue
              490.009E-03          1.40295E+03      -55.0472E-03        38.5359           130.64E-06   
              491.253E-03          1.40311E+03      -55.0513E-03             NoValue            NoValue
              492.523E-03          1.40326E+03      -55.0549E-03             NoValue            NoValue
              493.767E-03          1.40338E+03      -55.0579E-03             NoValue            NoValue
              495.011E-03          1.40347E+03      -55.0604E-03        38.5542            34.0231E-06 
              496.256E-03          1.40355E+03      -55.0623E-03             NoValue            NoValue
              497.525E-03          1.4036E+03       -55.0636E-03             NoValue            NoValue
              498.769E-03          1.40363E+03      -55.0644E-03             NoValue            NoValue
              500.014E-03          1.40364E+03      -55.0646E-03        38.5601            77.2232E-09 
              501.258E-03          1.40362E+03      -55.0644E-03             NoValue            NoValue
