
                             RF1_desl_1e6_Pren  RF1_desl_1e6_Puxa  U1_desl_1e6_PuxaS
                  X                deSet               Set                 et       

              620.014E-03          1.00763E+03       -1.00336E+03      -39.4898E-03 
              621.258E-03          1.01052E+03       -1.00629E+03      -39.604E-03  
              622.503E-03          1.0134E+03        -1.00921E+03      -39.7177E-03 
              623.772E-03          1.01633E+03       -1.01218E+03      -39.8333E-03 
              625.016E-03          1.01919E+03       -1.01508E+03      -39.9466E-03 
              626.26E-03           1.02205E+03       -1.01797E+03      -40.0593E-03 
              627.505E-03          1.0249E+03        -1.02084E+03      -40.1718E-03 
              628.774E-03          1.0278E+03        -1.02377E+03      -40.2863E-03 
              630.018E-03          1.03064E+03       -1.02663E+03      -40.3984E-03 
              631.263E-03          1.03347E+03       -1.02947E+03      -40.5101E-03 
              632.507E-03          1.03629E+03       -1.03231E+03      -40.6211E-03 
              633.751E-03          1.0391E+03        -1.03513E+03      -40.7323E-03 
              635.021E-03          1.04197E+03       -1.038E+03        -40.8451E-03 
              636.265E-03          1.04477E+03       -1.04079E+03      -40.9555E-03 
              637.509E-03          1.04757E+03       -1.04358E+03      -41.0654E-03 
              638.753E-03          1.05035E+03       -1.04635E+03      -41.1751E-03 
              640.023E-03          1.05319E+03       -1.04917E+03      -41.2867E-03 
              641.267E-03          1.05597E+03       -1.05192E+03      -41.3959E-03 
              642.511E-03          1.05874E+03       -1.05466E+03      -41.5047E-03 
              643.755E-03          1.0615E+03        -1.05739E+03      -41.6128E-03 
              645.025E-03          1.06432E+03       -1.06017E+03      -41.7232E-03 
              646.269E-03          1.06707E+03       -1.06288E+03      -41.831E-03  
              647.513E-03          1.06982E+03       -1.06558E+03      -41.938E-03  
              648.757E-03          1.07257E+03       -1.06827E+03      -42.0449E-03 
              650.002E-03          1.07531E+03       -1.07094E+03      -42.1517E-03 
              651.271E-03          1.0781E+03        -1.07367E+03      -42.2602E-03 
              652.515E-03          1.08083E+03       -1.07633E+03      -42.366E-03  
              653.76E-03           1.08356E+03       -1.07897E+03      -42.4718E-03 
              655.004E-03          1.08628E+03       -1.08161E+03      -42.5768E-03 
              656.273E-03          1.08905E+03       -1.08429E+03      -42.6838E-03 
              657.518E-03          1.09176E+03       -1.0869E+03       -42.7885E-03 
              658.762E-03          1.09447E+03       -1.0895E+03       -42.8925E-03 
              660.006E-03          1.09717E+03       -1.0921E+03       -42.9964E-03 
              661.25E-03           1.09985E+03       -1.09468E+03      -43.0996E-03 
              662.52E-03           1.10259E+03       -1.09731E+03      -43.205E-03  
              663.764E-03          1.10526E+03       -1.09987E+03      -43.3074E-03 
              665.008E-03          1.10792E+03       -1.10243E+03      -43.4096E-03 
              666.252E-03          1.11057E+03       -1.10497E+03      -43.5116E-03 
              667.522E-03          1.11326E+03       -1.10756E+03      -43.6153E-03 
              668.766E-03          1.11588E+03       -1.11008E+03      -43.7164E-03 
              670.01E-03           1.1185E+03        -1.1126E+03       -43.8173E-03 
              671.254E-03          1.1211E+03        -1.11511E+03      -43.9176E-03 
              672.524E-03          1.12373E+03       -1.11766E+03      -44.0197E-03 
              673.768E-03          1.12631E+03       -1.12016E+03      -44.1191E-03 
              675.012E-03          1.12886E+03       -1.12264E+03      -44.2183E-03 
              676.257E-03          1.13141E+03       -1.12512E+03      -44.3172E-03 
              677.501E-03          1.13394E+03       -1.12758E+03      -44.4155E-03 
              678.77E-03           1.1365E+03        -1.13009E+03      -44.5156E-03 
              680.014E-03          1.139E+03         -1.13254E+03      -44.6131E-03 
              681.259E-03          1.14149E+03       -1.13498E+03      -44.7102E-03 
              682.503E-03          1.14396E+03       -1.13742E+03      -44.8073E-03 
              683.772E-03          1.14647E+03       -1.13989E+03      -44.9056E-03 
              685.017E-03          1.14892E+03       -1.14231E+03      -45.0013E-03 
              686.261E-03          1.15135E+03       -1.14473E+03      -45.0972E-03 
              687.505E-03          1.15377E+03       -1.14713E+03      -45.192E-03  
              688.775E-03          1.15623E+03       -1.14958E+03      -45.289E-03  
              690.019E-03          1.15862E+03       -1.15197E+03      -45.3833E-03 
              691.263E-03          1.16101E+03       -1.15435E+03      -45.477E-03  
              692.507E-03          1.16338E+03       -1.15673E+03      -45.5704E-03 
              693.751E-03          1.16573E+03       -1.15911E+03      -45.6638E-03 
              695.021E-03          1.16813E+03       -1.16152E+03      -45.7582E-03 
              696.265E-03          1.17046E+03       -1.16388E+03      -45.8505E-03 
              697.509E-03          1.17279E+03       -1.16623E+03      -45.9423E-03 
              698.753E-03          1.1751E+03        -1.16858E+03      -46.0337E-03 
              700.023E-03          1.17744E+03       -1.17097E+03      -46.1263E-03 
              701.267E-03          1.17973E+03       -1.1733E+03       -46.2169E-03 
              702.511E-03          1.182E+03         -1.17562E+03      -46.3068E-03 
              703.756E-03          1.18426E+03       -1.17794E+03      -46.3964E-03 
              705.025E-03          1.18656E+03       -1.18028E+03      -46.4876E-03 
              706.269E-03          1.1888E+03        -1.18258E+03      -46.5764E-03 
              707.514E-03          1.19102E+03       -1.18485E+03      -46.6645E-03 
              708.758E-03          1.19324E+03       -1.18712E+03      -46.7522E-03 
              710.002E-03          1.19544E+03       -1.18937E+03      -46.8398E-03 
              711.272E-03          1.19768E+03       -1.19166E+03      -46.9285E-03 
              712.516E-03          1.19986E+03       -1.19389E+03      -47.0151E-03 
              713.76E-03           1.20204E+03       -1.1961E+03       -47.1012E-03 
              715.004E-03          1.2042E+03        -1.19829E+03      -47.1869E-03 
              716.274E-03          1.2064E+03        -1.20051E+03      -47.2737E-03 
              717.518E-03          1.20854E+03       -1.20268E+03      -47.3586E-03 
              718.762E-03          1.21067E+03       -1.20483E+03      -47.4427E-03 
              720.006E-03          1.2128E+03        -1.20696E+03      -47.5266E-03 
              721.25E-03           1.21491E+03       -1.20908E+03      -47.6102E-03 
              722.52E-03           1.21706E+03       -1.21122E+03      -47.6945E-03 
              723.764E-03          1.21916E+03       -1.21331E+03      -47.7772E-03 
              725.008E-03          1.22124E+03       -1.21538E+03      -47.8592E-03 
              726.253E-03          1.22332E+03       -1.21744E+03      -47.9405E-03 
              727.522E-03          1.22543E+03       -1.21952E+03      -48.0233E-03 
              728.766E-03          1.22748E+03       -1.22155E+03      -48.104E-03  
              730.01E-03           1.22953E+03       -1.22357E+03      -48.1842E-03 
              731.255E-03          1.23157E+03       -1.22557E+03      -48.2637E-03 
              732.524E-03          1.23364E+03       -1.2276E+03       -48.3447E-03 
              733.768E-03          1.23567E+03       -1.22957E+03      -48.4236E-03 
              735.013E-03          1.23768E+03       -1.23153E+03      -48.5018E-03 
              736.257E-03          1.23969E+03       -1.23348E+03      -48.5793E-03 
              737.501E-03          1.24169E+03       -1.23542E+03      -48.6566E-03 
              738.771E-03          1.24372E+03       -1.23738E+03      -48.7353E-03 
              740.015E-03          1.2457E+03        -1.23929E+03      -48.8117E-03 
              741.259E-03          1.24768E+03       -1.24119E+03      -48.8874E-03 
              742.503E-03          1.24964E+03       -1.24307E+03      -48.9629E-03 
              743.773E-03          1.25164E+03       -1.24498E+03      -49.0396E-03 
              745.017E-03          1.25358E+03       -1.24684E+03      -49.1141E-03 
              746.261E-03          1.25552E+03       -1.24869E+03      -49.1878E-03 
              747.505E-03          1.25744E+03       -1.25052E+03      -49.2613E-03 
              748.775E-03          1.25939E+03       -1.25239E+03      -49.3357E-03 
              750.019E-03          1.26129E+03       -1.2542E+03       -49.4086E-03 
              751.263E-03          1.26317E+03       -1.256E+03        -49.4805E-03 
              752.507E-03          1.26504E+03       -1.25778E+03      -49.5521E-03 
              753.752E-03          1.26689E+03       -1.25956E+03      -49.6234E-03 
              755.021E-03          1.26876E+03       -1.26136E+03      -49.6953E-03 
              756.265E-03          1.27058E+03       -1.26311E+03      -49.7655E-03 
              757.51E-03           1.27238E+03       -1.26486E+03      -49.8352E-03 
              758.754E-03          1.27417E+03       -1.26659E+03      -49.9041E-03 
              760.023E-03          1.27597E+03       -1.26835E+03      -49.9744E-03 
              761.268E-03          1.27773E+03       -1.27006E+03      -50.0425E-03 
              762.512E-03          1.27946E+03       -1.27176E+03      -50.1101E-03 
              763.756E-03          1.28118E+03       -1.27346E+03      -50.1775E-03 
              765.E-03             1.28288E+03       -1.27514E+03      -50.2442E-03 
              766.27E-03           1.2846E+03        -1.27685E+03      -50.3119E-03 
              767.514E-03          1.28627E+03       -1.27851E+03      -50.3776E-03 
              768.758E-03          1.28793E+03       -1.28017E+03      -50.4428E-03 
              770.002E-03          1.28956E+03       -1.28181E+03      -50.5074E-03 
              771.272E-03          1.29122E+03       -1.28348E+03      -50.5733E-03 
              772.516E-03          1.29283E+03       -1.2851E+03       -50.637E-03  
              773.76E-03           1.29442E+03       -1.28672E+03      -50.7001E-03 
              775.004E-03          1.296E+03         -1.28833E+03      -50.763E-03  
              776.274E-03          1.2976E+03        -1.28996E+03      -50.8264E-03 
              777.518E-03          1.29915E+03       -1.29155E+03      -50.8882E-03 
              778.762E-03          1.30069E+03       -1.29313E+03      -50.9497E-03 
              780.007E-03          1.30221E+03       -1.2947E+03       -51.0103E-03 
              781.251E-03          1.30372E+03       -1.29626E+03      -51.071E-03  
              782.52E-03           1.30525E+03       -1.29785E+03      -51.132E-03  
              783.764E-03          1.30674E+03       -1.2994E+03       -51.1913E-03 
              785.009E-03          1.30821E+03       -1.30093E+03      -51.2502E-03 
              786.253E-03          1.30966E+03       -1.30246E+03      -51.3084E-03 
              787.522E-03          1.31114E+03       -1.30401E+03      -51.3674E-03 
              788.767E-03          1.31257E+03       -1.30551E+03      -51.4248E-03 
              790.011E-03          1.31399E+03       -1.30701E+03      -51.4814E-03 
              791.255E-03          1.3154E+03        -1.30849E+03      -51.5378E-03 
              792.525E-03          1.31682E+03       -1.30999E+03      -51.595E-03  
              793.769E-03          1.3182E+03        -1.31144E+03      -51.6503E-03 
              795.013E-03          1.31957E+03       -1.31288E+03      -51.7052E-03 
              796.257E-03          1.32093E+03       -1.3143E+03       -51.7597E-03 
              797.501E-03          1.32228E+03       -1.31571E+03      -51.8133E-03 
              798.771E-03          1.32364E+03       -1.31713E+03      -51.8682E-03 
              800.015E-03          1.32496E+03       -1.3185E+03       -51.921E-03  
              801.259E-03          1.32627E+03       -1.31986E+03      -51.9733E-03 
              802.503E-03          1.32758E+03       -1.3212E+03       -52.025E-03  
              803.773E-03          1.32889E+03       -1.32255E+03      -52.0776E-03 
              805.017E-03          1.33018E+03       -1.32385E+03      -52.1286E-03 
              806.261E-03          1.33145E+03       -1.32514E+03      -52.1792E-03 
              807.506E-03          1.33271E+03       -1.32641E+03      -52.2289E-03 
              808.775E-03          1.33398E+03       -1.3277E+03       -52.2796E-03 
              810.019E-03          1.33522E+03       -1.32894E+03      -52.3283E-03 
              811.264E-03          1.33646E+03       -1.33016E+03      -52.3769E-03 
              812.508E-03          1.33768E+03       -1.33138E+03      -52.4248E-03 
              813.752E-03          1.33889E+03       -1.33257E+03      -52.4724E-03 
              815.021E-03          1.34012E+03       -1.33378E+03      -52.5206E-03 
              816.266E-03          1.34131E+03       -1.33495E+03      -52.5667E-03 
              817.51E-03           1.34249E+03       -1.3361E+03       -52.6129E-03 
              818.754E-03          1.34366E+03       -1.33725E+03      -52.6583E-03 
              820.024E-03          1.34485E+03       -1.3384E+03       -52.7045E-03 
              821.268E-03          1.34601E+03       -1.33951E+03      -52.749E-03  
              822.512E-03          1.34715E+03       -1.34061E+03      -52.7933E-03 
              823.756E-03          1.34829E+03       -1.3417E+03       -52.8366E-03 
              825.E-03             1.34942E+03       -1.34278E+03      -52.8795E-03 
              826.27E-03           1.35056E+03       -1.34387E+03      -52.9232E-03 
              827.514E-03          1.35166E+03       -1.34492E+03      -52.9653E-03 
              828.758E-03          1.35276E+03       -1.34596E+03      -53.0071E-03 
              830.003E-03          1.35385E+03       -1.34699E+03      -53.0483E-03 
              831.272E-03          1.35495E+03       -1.34803E+03      -53.0898E-03 
              832.516E-03          1.35601E+03       -1.34903E+03      -53.13E-03   
              833.76E-03           1.35706E+03       -1.35002E+03      -53.1699E-03 
              835.005E-03          1.3581E+03        -1.35101E+03      -53.2093E-03 
              836.274E-03          1.35914E+03       -1.352E+03        -53.2487E-03 
              837.518E-03          1.36016E+03       -1.35296E+03      -53.2869E-03 
              838.763E-03          1.36115E+03       -1.35391E+03      -53.3249E-03 
              840.007E-03          1.36213E+03       -1.35485E+03      -53.3621E-03 
              841.251E-03          1.36309E+03       -1.35578E+03      -53.3993E-03 
              842.521E-03          1.36405E+03       -1.35672E+03      -53.4363E-03 
              843.765E-03          1.36498E+03       -1.35763E+03      -53.4725E-03 
              845.009E-03          1.36589E+03       -1.35853E+03      -53.508E-03  
              846.253E-03          1.36679E+03       -1.35942E+03      -53.543E-03  
              847.523E-03          1.36768E+03       -1.36032E+03      -53.5782E-03 
              848.767E-03          1.36854E+03       -1.3612E+03       -53.6124E-03 
              850.011E-03          1.36939E+03       -1.36206E+03      -53.6461E-03 
              851.255E-03          1.37022E+03       -1.36292E+03      -53.6793E-03 
              852.525E-03          1.37105E+03       -1.36378E+03      -53.7128E-03 
              853.769E-03          1.37184E+03       -1.36462E+03      -53.7451E-03 
              855.013E-03          1.37263E+03       -1.36545E+03      -53.7769E-03 
              856.257E-03          1.3734E+03        -1.36627E+03      -53.8082E-03 
              857.502E-03          1.37416E+03       -1.36709E+03      -53.8389E-03 
              858.771E-03          1.37491E+03       -1.36791E+03      -53.8704E-03 
              860.015E-03          1.37565E+03       -1.36871E+03      -53.9E-03    
              861.26E-03           1.37636E+03       -1.36949E+03      -53.9301E-03 
              862.504E-03          1.37707E+03       -1.37028E+03      -53.9589E-03 
              863.773E-03          1.37778E+03       -1.37107E+03      -53.9882E-03 
              865.018E-03          1.37846E+03       -1.37183E+03      -54.0163E-03 
              866.262E-03          1.37913E+03       -1.37259E+03      -54.0446E-03 
              867.506E-03          1.37979E+03       -1.37334E+03      -54.0716E-03 
              868.75E-03           1.38044E+03       -1.37408E+03      -54.0987E-03 
              870.02E-03           1.38108E+03       -1.37483E+03      -54.126E-03  
              871.264E-03          1.38171E+03       -1.37555E+03      -54.1517E-03 
              872.508E-03          1.38232E+03       -1.37627E+03      -54.1776E-03 
              873.752E-03          1.38293E+03       -1.37697E+03      -54.203E-03  
              875.022E-03          1.38353E+03       -1.37768E+03      -54.228E-03  
              876.266E-03          1.38411E+03       -1.37837E+03      -54.2526E-03 
              877.51E-03           1.38469E+03       -1.37904E+03      -54.2766E-03 
              878.754E-03          1.38525E+03       -1.3797E+03       -54.3002E-03 
              880.024E-03          1.38582E+03       -1.38036E+03      -54.3234E-03 
              881.268E-03          1.38636E+03       -1.381E+03        -54.3462E-03 
              882.512E-03          1.38689E+03       -1.38162E+03      -54.3688E-03 
              883.757E-03          1.38742E+03       -1.38223E+03      -54.3906E-03 
              885.001E-03          1.38794E+03       -1.38282E+03      -54.4121E-03 
              886.27E-03           1.38846E+03       -1.38341E+03      -54.4338E-03 
              887.514E-03          1.38896E+03       -1.38397E+03      -54.4546E-03 
              888.759E-03          1.38945E+03       -1.38452E+03      -54.4746E-03 
              890.003E-03          1.38994E+03       -1.38505E+03      -54.4947E-03 
              891.272E-03          1.39043E+03       -1.38558E+03      -54.5145E-03 
              892.517E-03          1.3909E+03        -1.38609E+03      -54.5336E-03 
              893.761E-03          1.39136E+03       -1.38658E+03      -54.5522E-03 
              895.005E-03          1.39181E+03       -1.38705E+03      -54.571E-03  
              896.275E-03          1.39227E+03       -1.38753E+03      -54.5891E-03 
              897.519E-03          1.39271E+03       -1.38798E+03      -54.6067E-03 
              898.763E-03          1.39315E+03       -1.38842E+03      -54.6239E-03 
              900.007E-03          1.39357E+03       -1.38885E+03      -54.6406E-03 
              901.251E-03          1.39399E+03       -1.38927E+03      -54.657E-03  
              902.521E-03          1.39442E+03       -1.38969E+03      -54.6736E-03 
              903.765E-03          1.39482E+03       -1.39009E+03      -54.6894E-03 
              905.009E-03          1.39522E+03       -1.39048E+03      -54.7047E-03 
              906.253E-03          1.39562E+03       -1.39087E+03      -54.7199E-03 
              907.523E-03          1.39601E+03       -1.39125E+03      -54.735E-03  
              908.767E-03          1.39639E+03       -1.39161E+03      -54.7491E-03 
              910.011E-03          1.39677E+03       -1.39197E+03      -54.7631E-03 
              911.256E-03          1.39714E+03       -1.39231E+03      -54.7766E-03 
              912.525E-03          1.39751E+03       -1.39266E+03      -54.7903E-03 
              913.769E-03          1.39786E+03       -1.39299E+03      -54.8031E-03 
              915.014E-03          1.3982E+03        -1.39331E+03      -54.8155E-03 
              916.258E-03          1.39854E+03       -1.39363E+03      -54.828E-03  
              917.502E-03          1.39887E+03       -1.39394E+03      -54.84E-03   
              918.771E-03          1.3992E+03        -1.39425E+03      -54.8517E-03 
              920.016E-03          1.39951E+03       -1.39454E+03      -54.863E-03  
              921.26E-03           1.39981E+03       -1.39483E+03      -54.8743E-03 
              922.504E-03          1.4001E+03        -1.39511E+03      -54.8847E-03 
              923.774E-03          1.40038E+03       -1.3954E+03       -54.8954E-03 
              925.018E-03          1.40065E+03       -1.39567E+03      -54.9051E-03 
              926.262E-03          1.4009E+03        -1.39593E+03      -54.9151E-03 
              927.506E-03          1.40115E+03       -1.39619E+03      -54.9246E-03 
              928.75E-03           1.40138E+03       -1.39645E+03      -54.9336E-03 
              930.02E-03           1.4016E+03        -1.39671E+03      -54.9429E-03 
              931.264E-03          1.4018E+03        -1.39695E+03      -54.9513E-03 
              932.508E-03          1.40199E+03       -1.3972E+03       -54.9596E-03 
              933.753E-03          1.40217E+03       -1.39743E+03      -54.9677E-03 
              935.022E-03          1.40234E+03       -1.39767E+03      -54.9755E-03 
              936.266E-03          1.4025E+03        -1.3979E+03       -54.9831E-03 
              937.51E-03           1.40264E+03       -1.39813E+03      -54.9902E-03 
              938.755E-03          1.40278E+03       -1.39835E+03      -54.9971E-03 
              940.024E-03          1.40291E+03       -1.39857E+03      -55.0041E-03 
              941.268E-03          1.40302E+03       -1.39878E+03      -55.01E-03   
              942.513E-03          1.40313E+03       -1.399E+03        -55.0163E-03 
              943.757E-03          1.40323E+03       -1.39921E+03      -55.0225E-03 
              945.001E-03          1.40332E+03       -1.39941E+03      -55.0282E-03 
              946.271E-03          1.40341E+03       -1.39962E+03      -55.0335E-03 
              947.515E-03          1.40349E+03       -1.39982E+03      -55.0386E-03 
              948.759E-03          1.40356E+03       -1.40001E+03      -55.044E-03  
              950.003E-03          1.40363E+03       -1.40021E+03      -55.0486E-03 
              951.273E-03          1.40369E+03       -1.4004E+03       -55.0531E-03 
              952.517E-03          1.40375E+03       -1.40059E+03      -55.0575E-03 
              953.761E-03          1.40381E+03       -1.40078E+03      -55.0615E-03 
              955.005E-03          1.40385E+03       -1.40096E+03      -55.0653E-03 
              956.275E-03          1.40389E+03       -1.40114E+03      -55.0691E-03 
              957.519E-03          1.40393E+03       -1.40132E+03      -55.0728E-03 
              958.763E-03          1.40397E+03       -1.40149E+03      -55.076E-03  
              960.007E-03          1.404E+03         -1.40165E+03      -55.0791E-03 
              961.252E-03          1.40402E+03       -1.40181E+03      -55.0823E-03 
              962.521E-03          1.40404E+03       -1.40197E+03      -55.085E-03  
              963.765E-03          1.40406E+03       -1.40212E+03      -55.0875E-03 
              965.01E-03           1.40408E+03       -1.40227E+03      -55.09E-03   
              966.254E-03          1.40409E+03       -1.4024E+03       -55.092E-03  
              967.523E-03          1.4041E+03        -1.40253E+03      -55.0944E-03 
              968.768E-03          1.40411E+03       -1.40266E+03      -55.0963E-03 
              970.012E-03          1.40412E+03       -1.40277E+03      -55.0982E-03 
              971.256E-03          1.40413E+03       -1.40288E+03      -55.0996E-03 
              972.5E-03            1.40413E+03       -1.40297E+03      -55.1014E-03 
              973.77E-03           1.40413E+03       -1.40307E+03      -55.1027E-03 
              975.014E-03          1.40414E+03       -1.40315E+03      -55.104E-03  
              976.258E-03          1.40414E+03       -1.40322E+03      -55.1052E-03 
              977.502E-03          1.40414E+03       -1.40329E+03      -55.1064E-03 
              978.772E-03          1.40414E+03       -1.40335E+03      -55.1072E-03 
              980.016E-03          1.40415E+03       -1.4034E+03       -55.1082E-03 
              981.26E-03           1.40415E+03       -1.40345E+03      -55.109E-03  
              982.504E-03          1.40415E+03       -1.4035E+03       -55.1092E-03 
              983.774E-03          1.40415E+03       -1.40354E+03      -55.1102E-03 
              985.018E-03          1.40415E+03       -1.40357E+03      -55.1108E-03 
              986.262E-03          1.40415E+03       -1.40361E+03      -55.1109E-03 
              987.507E-03          1.40416E+03       -1.40364E+03      -55.1111E-03 
              988.751E-03          1.40416E+03       -1.40367E+03      -55.1116E-03 
              990.02E-03           1.40416E+03       -1.40369E+03      -55.1117E-03 
              991.264E-03          1.40417E+03       -1.40372E+03      -55.1121E-03 
              992.509E-03          1.40417E+03       -1.40375E+03      -55.1122E-03 
              993.753E-03          1.40418E+03       -1.40378E+03      -55.1122E-03 
              995.022E-03          1.40419E+03       -1.40381E+03      -55.1123E-03 
              996.267E-03          1.4042E+03        -1.40385E+03      -55.1123E-03 
              997.511E-03          1.40421E+03       -1.40388E+03      -55.1123E-03 
              998.755E-03          1.40421E+03       -1.40391E+03      -55.1123E-03 
                1.                 1.40422E+03       -1.40394E+03      -55.1123E-03 




